Date and Time:                Fri Oct 7 11:48:08.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3267
203.10698	3144
203.12848	3155
203.14999	3164
203.17151	3134
203.19302	3170
203.21452	3217
203.23604	3240
203.25755	3209
203.27905	3243
203.30057	3242
203.32208	3210
203.34358	3217
203.3651	3226
203.38661	3287
203.40811	3283
203.42963	3307
203.45113	3325
203.47264	3348
203.49416	3355
203.51566	3371
203.53717	3381
203.55867	3390
203.58018	3407
203.60168	3435
203.6232	3489
203.6447	3474
203.66621	3492
203.68771	3538
203.70923	3504
203.73073	3561
203.75224	3570
203.77374	3578
203.79526	3595
203.81676	3605
203.83827	3631
203.85977	3640
203.88127	3681
203.90279	3693
203.92429	3698
203.94579	3703
203.9673	3723
203.9888	3723
204.01031	3731
204.03181	3725
204.05331	3805
204.07481	3786
204.09633	3808
204.11783	3836
204.13933	3893
204.16084	3883
204.18234	3865
204.20384	3902
204.22534	3941
204.24684	4004
204.26836	3992
204.28986	4020
204.31136	4074
204.33286	4059
204.35435	4063
204.37587	4049
204.39737	4084
204.41887	4114
204.44037	4116
204.46187	4121
204.48337	4135
204.50487	4149
204.52637	4172
204.54787	4155
204.56937	4169
204.59087	4210
204.61237	4263
204.63387	4262
204.65536	4299
204.67688	4314
204.69836	4336
204.71986	4310
204.74136	4322
204.76286	4346
204.78436	4393
204.80586	4439
204.82736	4425
204.84886	4435
204.87036	4456
204.89186	4462
204.91336	4548
204.93486	4573
204.95636	4588
204.97784	4615
204.99934	4651
205.02084	4632
205.04234	4606
205.06384	4674
205.08534	4762
205.10683	4737
205.12833	4797
205.14983	4778
205.17133	4838
205.19281	4812
205.21431	4897
205.23581	4897
205.25731	4909
205.27879	4961
205.30029	4970
205.32179	4943
205.34328	5008
205.36478	5099
205.38628	5056
205.40776	5083
205.42926	5071
205.45074	5066
205.47224	5120
205.49374	5144
205.51523	5149
205.53673	5206
205.55821	5220
205.57971	5237
