Date and Time:                Sun Jan 29 14:33:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	302
288.53345	310
288.55453	303
288.57565	302
288.59677	302
288.61786	308
288.63898	302
288.6601	303
288.68118	303
288.7023	302
288.72342	305
288.74454	299
288.76563	305
288.78674	305
288.80783	303
288.82895	307
288.85007	301
288.87115	302
288.89227	307
288.91339	309
288.93448	303
288.9556	299
288.97668	301
288.9978	304
289.01892	300
289.04001	308
289.06113	301
289.08221	302
289.10333	300
289.12442	305
289.14554	301
289.16666	303
289.18774	302
289.20886	302
289.22995	306
289.25107	300
289.27216	299
289.29327	307
289.31436	304
289.33548	304
289.35657	309
289.37769	306
289.39877	301
289.41989	305
289.44098	306
289.46207	305
289.48318	305
289.50427	306
289.52539	310
289.54648	303
289.5676	305
289.58868	304
289.60977	311
289.63089	307
289.65198	308
289.6731	307
289.69418	302
289.71527	300
289.73639	303
289.75748	306
289.77859	311
289.79968	313
289.82077	304
289.84189	300
289.86298	301
289.88406	302
289.90518	308
289.92627	305
289.94736	300
289.96848	309
289.98956	304
290.01065	301
290.03174	308
290.05286	307
290.07394	303
290.09503	313
290.11612	302
290.13724	298
290.15833	306
290.17941	306
290.2005	302
290.22162	302
290.24271	306
290.26379	306
290.28488	302
290.30597	304
290.32709	309
290.34818	306
290.36926	304
290.39035	305
290.41144	306
290.43256	304
290.45364	302
290.47473	299
290.49582	302
290.51691	308
290.53799	305
290.55908	300
290.5802	299
290.60129	302
290.62238	300
290.64346	301
290.66455	305
290.68564	310
290.70673	296
290.72781	302
290.7489	302
290.76999	300
290.79108	305
290.81216	306
290.83325	297
290.85434	307
290.87546	304
290.89655	301
290.91763	298
290.93872	298
290.95981	303
290.9809	307
291.00198	306
291.02307	300
291.04413	303
291.06522	298
291.0863	303
291.10739	302
291.12848	304
291.14957	306
291.17065	307
291.19174	301
291.21283	303
291.23392	303
291.255	303
291.27609	308
291.29718	301
