Date and Time:                Sun Jan 29 14:31:00.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	2751
288.53345	2650
288.55453	2652
288.57565	2634
288.59677	2638
288.61786	2667
288.63898	2693
288.6601	2674
288.68118	2677
288.7023	2661
288.72342	2682
288.74454	2640
288.76563	2636
288.78674	2637
288.80783	2659
288.82895	2640
288.85007	2617
288.87115	2650
288.89227	2665
288.91339	2637
288.93448	2657
288.9556	2656
288.97668	2632
288.9978	2645
289.01892	2612
289.04001	2639
289.06113	2625
289.08221	2628
289.10333	2619
289.12442	2604
289.14554	2628
289.16666	2611
289.18774	2597
289.20886	2607
289.22995	2607
289.25107	2607
289.27216	2605
289.29327	2596
289.31436	2602
289.33548	2593
289.35657	2592
289.37769	2608
289.39877	2587
289.41989	2586
289.44098	2603
289.46207	2613
289.48318	2647
289.50427	2632
289.52539	2622
289.54648	2611
289.5676	2601
289.58868	2599
289.60977	2600
289.63089	2607
289.65198	2611
289.6731	2627
289.69418	2602
289.71527	2592
289.73639	2601
289.75748	2601
289.77859	2578
289.79968	2589
289.82077	2594
289.84189	2600
289.86298	2580
289.88406	2585
289.90518	2574
289.92627	2559
289.94736	2558
289.96848	2542
289.98956	2536
290.01065	2535
290.03174	2517
290.05286	2533
290.07394	2526
290.09503	2498
290.11612	2532
290.13724	2521
290.15833	2553
290.17941	2532
290.2005	2509
290.22162	2500
290.24271	2546
290.26379	2549
290.28488	2522
290.30597	2504
290.32709	2523
290.34818	2536
290.36926	2537
290.39035	2535
290.41144	2529
290.43256	2533
290.45364	2529
290.47473	2503
290.49582	2496
290.51691	2496
290.53799	2499
290.55908	2501
290.5802	2510
290.60129	2548
290.62238	2554
290.64346	2559
290.66455	2553
290.68564	2537
290.70673	2555
290.72781	2551
290.7489	2538
290.76999	2573
290.79108	2548
290.81216	2569
290.83325	2593
290.85434	2589
290.87546	2573
290.89655	2566
290.91763	2589
290.93872	2582
