Date and Time:                Sat Jan 28 16:14:23.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              290
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



268.4061	307
268.42731	306
268.44852	307
268.46973	301
268.49094	305
268.51215	306
268.53336	305
268.55457	311
268.57578	302
268.59698	303
268.61819	298
268.6394	304
268.66061	300
268.68179	298
268.703	306
268.72421	308
268.74542	305
268.76663	298
268.78784	302
268.80905	302
268.83026	298
268.85147	305
268.87268	298
268.89389	304
268.91507	299
268.93628	303
268.95749	306
268.9787	302
268.99991	300
269.02112	302
269.04233	304
269.06351	300
269.08472	305
269.10593	299
269.12714	306
269.14835	305
269.16953	301
269.19073	301
269.21194	303
269.23315	296
269.25436	308
269.27554	295
269.29675	304
269.31796	304
269.33917	305
269.36035	302
269.38156	303
269.40277	305
269.42398	306
269.44516	303
269.46637	302
269.48758	306
269.50876	299
269.52997	304
269.55118	307
269.57236	301
269.59357	310
269.61478	304
269.63599	298
269.65717	299
269.67838	305
269.69955	302
269.72076	299
269.74197	305
269.76315	308
269.78436	305
269.80557	303
269.82675	299
269.84796	305
269.86914	300
269.89035	305
269.91156	304
269.93274	302
269.95395	306
269.97513	305
269.99634	301
270.01752	302
270.03873	303
270.05994	302
270.08112	304
270.10233	299
270.1235	302
270.14471	298
270.16589	305
270.1871	299
270.20828	308
270.22949	311
270.25067	302
270.27188	303
270.29306	304
270.31427	305
270.33545	305
270.35666	308
270.37784	302
270.39902	307
270.42023	297
270.44141	303
270.46262	301
270.4838	304
270.505	311
270.52618	304
270.54736	305
270.56857	299
270.58975	305
270.61096	305
270.63214	306
270.65332	303
270.67453	297
270.69571	300
270.71689	311
270.7381	304
270.75928	303
270.78046	300
270.80167	310
270.82285	305
270.84402	303
270.86523	302
270.88641	298
270.90759	301
270.9288	300
270.94998	301
270.97116	307
270.99237	310
271.01355	305
271.03473	304
271.05591	300
271.07712	306
271.0983	296
271.11948	303
271.14066	299
271.16183	311
271.18304	301
271.20422	304
