Date and Time:                Fri Sep 9 19:10:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              422
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
409.14511	299
409.16553	305
409.18591	301
409.2063	301
409.22668	297
409.24707	298
409.26746	301
409.28784	297
409.30823	307
409.32861	304
409.349	295
409.36938	304
409.38977	303
409.41016	298
409.43054	296
409.45093	304
409.47131	297
409.4917	297
409.51208	304
409.53247	295
409.55286	306
409.57324	303
409.59363	303
409.61401	300
409.6344	298
409.65479	300
409.67517	301
409.69556	297
409.71594	301
409.73633	293
409.75671	294
409.77707	299
409.79745	301
409.81784	296
409.83823	296
409.85861	301
409.879	298
409.89938	305
409.91974	305
409.94012	303
409.96051	304
409.9809	297
410.00128	303
410.02164	303
410.04202	306
410.06241	301
410.08279	304
410.10315	299
410.12354	301
410.14392	299
410.16431	302
410.18466	303
410.20505	305
410.22543	300
410.24579	303
410.26617	301
410.28656	309
410.30692	303
410.3273	296
410.34769	297
410.36804	296
410.38843	298
410.40881	294
410.42917	302
410.44955	303
410.46991	296
410.4903	304
410.51068	299
410.53104	304
410.55142	307
410.57178	293
410.59216	305
410.61252	298
410.6329	300
410.65326	292
410.67365	302
410.694	302
410.71439	297
410.73474	298
410.75513	301
410.77548	296
410.79587	299
410.81622	305
410.83661	301
410.85696	306
410.87735	293
410.89771	301
410.91806	303
410.93845	304
410.9588	302
410.97919	299
410.99954	301
411.0199	301
411.04028	299
411.06064	298
411.08099	297
411.10138	299
411.12173	302
411.14209	305
411.16248	300
411.18283	302
411.20319	297
411.22357	303
411.24393	301
411.26428	301
411.28464	301
411.30502	302
411.32538	296
411.34573	297
411.36609	298
411.38647	302
411.40683	298
411.42719	297
411.44754	308
411.4679	302
411.48828	296
411.50864	301
411.52899	296
411.54935	294
411.5697	305
411.59006	297
411.61044	296
411.6308	298
411.65115	301
411.67151	300
411.69186	303
411.71222	300
411.73257	299
411.75293	295
411.77328	292
411.79364	301
411.814	294
411.83435	300
411.85471	299
411.87506	299
411.89545	302
411.9158	301
411.93616	308
411.95651	296
411.97684	301
411.99719	300
412.01755	300
412.0379	295
412.05826	298
412.07861	297
412.09897	302
412.11932	298
412.13968	300
412.16003	305
412.18039	296
412.20074	301
412.2211	304
412.24142	307
412.26178	302
412.28214	298
412.30249	303
412.32285	296
412.3432	302
412.36356	301
412.38388	297
412.40424	303
412.42459	301
412.44495	301
412.4653	303
412.48563	299
412.50598	299
412.52634	301
412.54669	302
412.56702	299
412.58737	296
412.60773	302
412.62808	303
412.64841	302
412.66876	299
412.68912	300
412.70944	305
412.7298	300
412.75015	299
412.77048	295
412.79083	306
412.81119	304
412.83151	294
412.85187	299
412.87219	295
412.89255	309
412.9129	301
412.93323	299
412.95358	302
412.97391	302
412.99426	299
413.01459	301
413.03494	303
413.0553	298
413.07562	295
413.09598	295
413.1163	301
413.13666	297
413.15698	301
413.17734	303
413.19766	299
413.21802	303
413.23834	299
413.25867	298
413.27902	301
413.29935	306
413.3197	300
413.34003	296
413.36038	302
413.38071	299
413.40103	302
413.42139	298
413.44171	300
413.46207	298
413.48239	298
413.50272	297
413.52307	302
413.5434	297
413.56372	295
413.58408	297
413.6044	300
413.62473	303
413.64505	300
413.66541	294
413.68573	300
413.70605	301
413.72641	301
413.74673	296
413.76706	295
413.78738	301
413.80774	302
413.82806	302
413.84839	306
413.86871	296
413.88904	306
413.90936	304
413.92972	305
413.95004	291
413.97037	300
413.99069	301
414.01102	309
414.03134	299
414.0517	297
414.07202	300
414.09235	303
414.11267	300
414.133	296
414.15332	304
414.17365	297
414.19397	303
414.21429	296
414.23462	299
414.25494	297
414.27527	297
414.29559	302
414.31592	300
414.33624	299
414.35657	299
414.37689	295
414.39722	301
414.41754	303
414.43787	298
414.45819	305
414.47852	302
414.49884	299
414.51917	309
414.53949	303
414.55981	301
414.58014	297
414.60046	301
414.62079	306
414.64108	304
414.66141	302
414.68173	302
414.70206	300
414.72238	292
414.74271	304
414.763	298
414.78333	300
414.80365	298
414.82397	298
414.8443	305
414.86459	302
414.88492	302
414.90524	302
414.92557	299
414.94586	298
414.96619	303
414.98651	300
415.00684	300
415.02713	307
415.04745	308
415.06778	297
415.08807	300
415.1084	300
415.12872	293
415.14902	307
415.16934	296
415.18967	297
415.20996	296
415.23029	301
415.25061	296
415.2709	303
415.29123	303
415.31152	301
415.33185	294
415.35217	300
415.37247	296
415.39279	301
415.41309	301
415.43341	307
415.4537	297
415.47403	301
415.49432	300
415.51465	300
415.53494	296
415.55527	300
415.57556	298
415.59589	299
415.61618	296
415.63651	305
415.6568	306
415.67712	295
415.69742	307
415.71774	303
415.73804	305
415.75833	302
415.77866	302
415.79895	296
415.81924	303
415.83957	303
415.85986	301
415.88019	303
415.90048	293
415.92078	293
415.9411	301
415.9614	301
415.98169	300
416.00198	298
416.02231	307
416.0426	297
416.0629	304
416.08322	306
416.10352	295
416.12381	297
416.1441	296
416.16443	303
416.18472	304
416.20502	300
416.22531	295
416.24561	299
416.26593	298
416.28622	301
416.30652	298
416.32681	305
416.34711	305
416.3674	298
416.38773	298
416.40802	295
416.42831	303
416.44861	300
416.4689	303
416.4892	307
416.50949	302
416.52979	298
416.55008	303
416.57037	295
416.59067	297
416.61096	295
416.63126	296
416.65155	299
416.67188	305
416.69217	295
416.71246	301
416.73273	297
416.75302	295
416.77332	299
416.79361	304
416.8139	300
416.8342	301
416.85449	302
416.87479	294
416.89508	301
416.91537	303
416.93567	301
416.95596	295
416.97626	303
416.99655	297
417.01682	313
417.03711	297
417.0574	302
417.0777	307
417.09799	301
417.11829	299
417.13855	302
417.15884	304
417.17914	308
417.19943	301
417.21973	310
417.23999	299
417.26028	300
417.28058	303
417.30087	299
417.32114	297
417.34143	297
417.36172	291
417.38199	296
417.40228	301
417.42258	303
417.44287	300
417.46313	302
417.48343	298
417.50372	300
417.52399	301
417.54428	298
417.56454	313
417.58484	302
417.60513	305
417.6254	303
417.64569	299
417.66595	303
417.68625	296
417.70654	304
417.72681	295
417.7471	302
417.76736	302
417.78766	299
417.80792	300
417.82822	306
417.84848	299
417.86877	303
417.88904	303
417.90933	296
417.9296	302
417.94989	300
417.97015	296
417.99045	300
418.01071	301
418.03101	298
418.05127	306
418.07153	304
418.09183	306
418.11209	306
418.13239	300
418.15265	301
418.17291	297
418.19321	301
418.21347	299
418.23373	296
418.25403	299
418.27429	303
418.29456	299
418.31485	304
418.33511	302
418.35538	302
418.37564	300
418.39594	291
418.4162	302
418.43646	307
418.45673	298
418.47702	302
418.49728	296
418.51755	299
418.53781	303
418.55811	295
418.57837	299
418.59863	300
418.6189	299
418.63916	300
418.65942	302
418.67972	298
418.69998	304
418.72025	297
418.74051	299
418.76077	303
418.78104	300
418.8013	299
418.82156	298
418.84183	298
418.86209	308
418.88239	300
418.90265	307
418.92291	299
418.94318	299
418.96344	301
418.9837	300
419.00397	308
419.02423	297
419.04449	301
419.06476	302
419.08502	300
419.10529	302
419.12555	299
419.14578	305
419.16605	308
419.18631	297
419.20657	293
419.22684	301
419.2471	299
419.26736	295
419.28763	302
419.30789	298
419.32816	301
419.34839	302
419.36865	301
419.38892	300
419.40918	299
419.42944	301
419.44971	297
419.46994	298
419.4902	302
419.51047	301
419.53073	298
419.55096	297
419.57123	305
419.59149	296
419.61176	309
419.63199	299
419.65225	306
419.67252	306
419.69278	301
419.71301	300
419.73328	298
419.75354	299
419.77377	301
419.79404	298
419.8143	302
419.83453	296
419.8548	299
419.87503	300
419.89529	303
419.91556	298
419.93579	300
419.95605	299
419.97629	297
419.99655	301
420.01682	298
420.03705	305
420.05731	301
420.07755	300
420.09781	300
420.11804	303
420.13831	302
420.15854	297
420.1788	298
420.19904	305
420.2193	298
420.23953	298
420.2598	296
420.28003	299
420.30026	298
420.32053	299
420.34076	298
420.36102	301
420.38126	303
420.40149	303
420.42175	300
420.44199	302
420.46225	300
420.48248	295
420.50272	306
420.52298	308
420.54321	302
420.56345	301
420.58371	297
420.60394	305
420.62418	303
420.64441	304
420.66467	291
420.68491	305
420.70514	300
420.72537	302
420.74564	300
420.76587	301
420.7861	298
420.80634	302
420.8266	303
420.84683	298
420.86707	302
420.8873	300
420.90753	302
420.92776	299
420.94803	299
420.96826	298
420.98849	301
421.00873	304
421.02896	305
421.04919	305
421.06943	299
421.08966	300
421.10989	304
421.13016	298
421.15039	298
421.17062	302
421.19086	304
421.21109	303
421.23132	299
421.25156	299
421.27179	294
421.29202	303
421.31226	299
421.33249	303
421.35272	296
421.37296	297
421.39319	300
421.41339	294
421.43362	297
421.45386	305
421.47409	302
421.49432	300
421.51456	303
421.53479	302
421.55502	306
421.57526	294
421.59549	297
421.61569	298
421.63593	301
421.65616	307
421.67639	301
421.69662	305
421.71683	297
421.73706	301
421.75729	303
421.77753	305
421.79776	297
421.81796	302
421.8382	296
421.85843	300
421.87866	307
421.89886	302
421.9191	303
421.93933	306
421.95953	301
421.97977	306
422	299
422.0202	297
422.04044	301
422.06067	300
422.08087	305
422.1011	296
422.12134	304
422.14154	307
422.16177	303
422.18198	298
422.20221	308
422.22244	301
422.24265	295
422.26288	301
422.28308	299
422.30331	300
422.32352	303
422.34375	298
422.36395	297
422.38419	303
422.40439	300
422.42462	298
422.44482	302
422.46506	298
422.48526	304
422.50549	302
422.5257	305
422.54593	300
422.56613	300
422.58633	296
422.60657	302
422.62677	298
422.647	301
422.66721	304
422.68741	300
422.70764	294
422.72784	303
422.74805	300
422.76828	300
422.78848	300
422.80869	299
422.82892	304
422.84912	302
422.86932	297
422.88956	298
422.90976	302
422.92996	300
422.95016	299
