Date and Time:                Fri Sep 9 19:08:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              422
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



401.17471	51912
401.19519	52082
401.2157	52229
401.23618	52384
401.25665	52487
401.27713	52589
401.29761	52697
401.31808	52796
401.33859	52856
401.35907	52942
401.37955	52998
401.40002	53043
401.4205	53115
401.44098	53156
401.46146	53221
401.48193	53252
401.50241	53290
401.52289	53331
401.5434	53379
401.56387	53412
401.58435	53456
401.60483	53470
401.62531	53494
401.64578	53521
401.66626	53522
401.68674	53568
401.70721	53580
401.72769	53600
401.74817	53631
401.76865	53648
401.78912	53667
401.8096	53686
401.83008	53716
401.85056	53716
401.871	53736
401.89148	53744
401.91196	53762
401.93243	53766
401.95291	53783
401.97339	53789
401.99387	53808
402.01434	53811
402.03482	53814
402.0553	53828
402.07574	53832
402.09622	53848
402.1167	53849
402.13718	53858
402.15765	53872
402.17813	53864
402.19858	53894
402.21906	53881
402.23953	53874
402.26001	53895
402.28049	53900
402.30093	53907
402.32141	53906
402.34189	53907
402.36237	53908
402.38281	53922
402.40329	53918
402.42377	53910
402.44424	53920
402.46469	53930
402.48517	53915
402.50565	53930
402.52609	53909
402.54657	53919
402.56705	53932
402.58749	53935
402.60797	53937
402.62845	53921
402.6489	53940
402.66937	53940
402.68985	53930
402.7103	53938
402.73077	53953
402.75125	53947
402.7717	53942
402.79218	53944
402.81262	53954
402.8331	53928
402.85355	53957
402.87402	53956
402.8945	53957
402.91495	53939
402.93542	53942
402.95587	53940
402.97635	53950
402.9968	53957
403.01727	53955
403.03772	53944
403.0582	53928
403.07864	53955
403.09912	53945
403.11957	53942
403.14005	53942
403.16049	53938
403.18097	53958
403.20142	53955
403.22186	53940
403.24234	53953
403.26279	53935
403.28326	53954
403.30371	53941
403.32416	53946
403.34464	53959
403.36508	53941
403.38556	53941
403.40601	53947
403.42645	53945
403.44693	53937
403.46738	53933
403.48782	53944
403.5083	53942
403.52875	53937
403.54919	53942
