Date and Time:                Fri Sep 9 19:10:15.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              422
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



401.17471	296
401.19519	298
401.2157	298
401.23618	300
401.25665	300
401.27713	304
401.29761	298
401.31808	304
401.33859	304
401.35907	301
401.37955	300
401.40002	300
401.4205	300
401.44098	306
401.46146	303
401.48193	298
401.50241	298
401.52289	302
401.5434	303
401.56387	299
401.58435	295
401.60483	296
401.62531	297
401.64578	304
401.66626	301
401.68674	301
401.70721	299
401.72769	298
401.74817	301
401.76865	299
401.78912	297
401.8096	294
401.83008	309
401.85056	306
401.871	307
401.89148	302
401.91196	303
401.93243	305
401.95291	300
401.97339	304
401.99387	299
402.01434	298
402.03482	304
402.0553	303
402.07574	306
402.09622	300
402.1167	303
402.13718	304
402.15765	302
402.17813	300
402.19858	303
402.21906	297
402.23953	299
402.26001	307
402.28049	305
402.30093	304
402.32141	298
402.34189	296
402.36237	298
402.38281	301
402.40329	291
402.42377	300
402.44424	307
402.46469	303
402.48517	301
402.50565	303
402.52609	296
402.54657	299
402.56705	299
402.58749	305
402.60797	305
402.62845	306
402.6489	302
402.66937	306
402.68985	302
402.7103	304
402.73077	297
402.75125	301
402.7717	300
402.79218	302
402.81262	295
402.8331	304
402.85355	305
402.87402	300
402.8945	302
402.91495	299
402.93542	301
402.95587	299
402.97635	303
402.9968	304
403.01727	303
403.03772	297
403.0582	295
403.07864	306
403.09912	302
403.11957	303
403.14005	309
403.16049	302
403.18097	301
403.20142	303
403.22186	304
403.24234	298
403.26279	296
403.28326	297
403.30371	307
403.32416	304
403.34464	305
403.36508	295
403.38556	304
403.40601	301
403.42645	296
403.44693	299
403.46738	304
403.48782	298
403.5083	304
403.52875	303
403.54919	307
403.56967	300
403.59012	297
403.61057	306
403.63101	305
403.65149	304
403.67194	303
403.69238	304
403.71283	308
403.73331	296
403.75375	306
403.7742	304
403.79465	300
403.81512	300
403.83557	305
403.85602	307
403.87646	304
