Date and Time:                Sat Jan 28 15:58:58.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	347
233.25017	345
233.27155	350
233.29292	345
233.3143	353
233.33568	352
233.35706	342
233.37842	347
233.3998	337
233.42117	340
233.44255	346
233.46393	346
233.48531	353
233.50668	344
233.52805	347
233.54942	347
233.5708	348
233.59218	350
233.61356	347
233.63492	347
233.6563	344
233.67767	347
233.69904	343
233.72041	348
233.74179	350
233.76317	342
233.78453	350
233.80591	346
233.82729	342
233.84865	347
233.87003	345
233.89139	350
233.91277	352
233.93414	342
233.95551	346
233.97688	349
233.99825	340
234.01962	344
234.04099	341
234.06236	347
234.08374	346
234.1051	351
234.12648	339
234.14784	341
234.16922	344
234.19058	341
234.21194	343
234.23332	349
234.25468	353
234.27606	345
234.29742	348
234.31879	348
234.34016	342
234.36153	344
234.3829	349
234.40427	341
234.42563	340
234.44701	353
234.46837	349
234.48973	347
234.51111	345
234.53247	346
234.55383	354
234.5752	342
234.59657	349
234.61794	344
234.6393	346
234.66066	347
234.68202	348
234.7034	346
234.72476	344
234.74612	345
234.76749	348
234.78885	341
234.81021	349
234.83159	345
234.85295	358
234.87431	355
234.89568	343
234.91704	347
234.9384	348
234.95976	348
234.98112	345
235.00249	347
235.02385	347
235.04521	354
235.06657	343
235.08794	347
235.1093	347
235.13066	349
235.15202	346
235.17339	343
235.19475	349
235.21611	344
235.23747	346
235.25883	341
235.28018	343
235.30154	349
235.32291	347
235.34427	353
235.36563	343
235.38699	344
235.40836	346
235.4297	348
235.45107	344
235.47243	351
235.49379	337
235.51514	347
235.5365	354
235.55786	348
235.57922	350
235.60057	349
235.62193	349
235.6433	348
235.66464	343
235.686	338
235.70737	349
235.72871	344
235.75008	350
235.77144	344
235.79279	351
235.81415	342
235.83549	345
235.85686	354
235.87822	343
235.89957	344
235.92093	352
235.94228	347
235.96364	347
235.98499	342
236.00635	345
236.02769	343
236.04906	345
