Date and Time:                Sat Jan 28 16:01:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
241.5524	307
241.57372	305
241.59502	304
241.61632	299
241.63763	307
241.65894	301
241.68024	298
241.70155	305
241.72285	305
241.74416	303
241.76546	304
241.78677	307
241.80807	302
241.82938	313
241.85068	302
241.87199	298
241.8933	303
241.9146	305
241.9359	305
241.9572	307
241.9785	308
241.9998	305
242.02112	301
242.04242	301
242.06372	309
242.08502	302
242.10632	303
242.12762	305
242.14893	297
242.17023	303
242.19153	303
242.21283	305
242.23413	306
242.25543	307
242.27673	305
242.29803	304
242.31934	300
242.34064	302
242.36194	305
242.38324	306
242.40453	305
242.42583	318
242.44713	302
242.46843	302
242.48973	306
242.51103	300
242.53232	304
242.55362	313
242.57492	304
242.59622	299
242.61752	302
242.63881	302
242.66011	302
242.68141	301
242.70271	308
242.724	309
242.7453	300
242.7666	304
242.78789	309
242.80919	309
242.83049	306
242.85178	304
242.87308	309
242.89436	303
242.91566	302
242.93697	304
242.95825	306
242.97955	300
243.00084	298
243.02214	308
243.04343	306
243.06473	310
243.08601	305
243.10732	305
243.1286	306
243.1499	299
243.17119	306
243.19247	304
243.21378	302
243.23506	306
243.25636	301
243.27765	306
243.29893	308
243.32024	303
243.34152	309
243.36281	306
243.38411	309
243.4054	301
243.42668	302
243.44798	308
243.46927	304
243.49055	305
243.51184	308
243.53313	303
243.55443	308
243.57571	305
243.597	304
243.61829	316
243.63957	305
243.66087	309
243.68216	296
243.70345	300
243.72473	301
243.74602	305
243.7673	304
243.78859	303
243.80988	305
243.83116	305
243.85245	308
243.87373	304
243.89502	303
243.91631	307
243.93759	299
243.95888	307
243.98016	312
244.00145	305
244.02274	305
244.04402	301
244.06531	303
244.08659	311
244.10788	306
244.12917	305
244.15044	308
244.17172	305
244.19301	299
244.21429	304
244.23558	309
244.25685	305
244.27814	308
244.29942	303
244.32071	309
244.34198	300
244.36327	302
244.38455	304
244.40584	304
244.42711	305
244.44839	303
244.46968	304
244.49095	302
244.51224	303
244.53352	308
244.55479	300
244.57608	307
244.59735	310
244.61864	302
244.63991	310
244.66119	305
244.68248	302
244.70375	308
244.72504	304
244.74631	306
244.76759	301
244.78886	304
244.81013	302
244.83142	306
244.85269	301
244.87398	308
244.89525	306
244.91653	305
244.93781	310
244.95908	311
244.98036	306
245.00163	301
245.0229	302
245.04419	304
245.06546	298
245.08673	306
245.10802	302
245.12929	302
245.15056	303
245.17183	304
245.19312	306
245.21439	306
245.23566	304
245.25693	305
245.2782	297
245.29947	304
245.32076	305
245.34203	301
245.3633	302
245.38457	302
245.40584	304
245.42711	306
245.44838	305
245.46965	306
245.49092	309
245.51219	306
245.53346	296
245.55473	307
245.576	304
245.59727	295
245.61855	307
245.63982	308
245.66109	301
245.68236	304
245.70363	301
245.7249	311
245.74617	307
245.76744	308
245.78871	306
245.80997	300
245.83124	301
245.85251	303
245.87378	309
245.89505	305
245.91631	317
245.93758	302
245.95885	304
245.98012	298
246.00139	298
246.02264	303
246.04391	303
246.06519	301
246.08644	308
246.10771	309
246.12898	301
246.15024	310
246.17151	312
246.19278	311
246.21404	301
246.23531	304
246.25656	307
246.27783	303
246.29909	304
246.32036	309
246.34161	310
246.36288	305
246.38414	304
246.40541	310
246.42667	299
246.44794	307
246.46919	299
246.49046	304
246.51172	306
246.53299	304
246.55424	303
246.5755	301
246.59677	298
246.61803	303
246.63928	303
246.66055	301
246.68181	301
246.70306	299
246.72433	298
246.74559	307
246.76685	300
246.78812	307
246.80937	302
246.83063	307
246.85188	303
246.87314	302
246.89441	302
246.91566	307
246.93692	306
246.95818	307
246.97943	304
247.00069	306
247.02194	299
247.0432	302
247.06447	299
247.08572	302
247.10698	307
247.12823	305
247.14949	303
247.17075	298
247.192	304
247.21326	304
247.23451	309
247.25577	301
247.27702	306
247.29828	299
247.31953	298
247.34077	299
247.36203	299
247.38329	302
247.40454	296
247.4258	305
247.44705	301
247.46831	299
247.48955	307
247.5108	310
247.53206	300
247.55331	309
247.57457	303
247.59581	306
247.61707	303
247.63832	302
247.65956	304
247.68082	311
247.70207	300
247.72333	305
247.74457	307
247.76582	305
247.78706	301
247.80832	309
247.82957	305
247.85081	305
247.87207	305
247.89331	307
247.91457	305
247.93582	305
247.95706	299
247.97832	300
247.99956	304
248.02081	305
248.04205	303
248.06329	306
248.08455	302
248.10579	303
248.12704	298
248.14828	299
248.16954	298
248.19078	300
248.21202	298
248.23328	296
248.25452	309
248.27576	304
248.29701	306
248.31825	301
248.33949	306
248.36073	302
248.38199	294
248.40323	311
248.42447	302
248.44571	306
248.46696	306
248.4882	311
248.50945	303
248.53069	304
248.55193	306
248.57317	306
248.59442	296
248.61566	304
248.6369	305
248.65814	298
248.67938	306
248.70062	304
248.72186	307
248.7431	301
248.76434	306
248.78558	306
248.80682	310
248.82806	311
248.8493	304
248.87054	303
248.89178	304
248.91302	300
248.93427	305
248.95551	299
248.97675	300
248.99797	301
249.01921	300
249.04045	309
249.06169	306
249.08293	303
249.10417	302
249.1254	309
249.14664	302
249.16788	310
249.18912	306
249.21034	303
249.23158	308
249.25282	300
249.27406	308
249.29529	301
249.31653	306
249.33777	299
249.35899	303
249.38023	309
249.40146	298
249.4227	313
249.44394	303
249.46516	304
249.4864	303
249.50763	307
249.52887	297
249.55009	301
249.57133	303
249.59256	304
249.6138	301
249.63503	312
249.65627	306
249.67749	305
249.69873	305
249.71996	303
249.74118	301
249.76242	307
249.78365	299
249.80489	304
249.82611	303
249.84734	311
249.86858	303
249.8898	306
249.91103	304
249.93225	300
249.95349	302
249.97472	305
249.99594	301
250.01717	302
250.03841	304
250.05963	310
250.08086	308
250.10208	305
250.12331	309
250.14453	301
250.16577	304
250.187	300
250.20822	309
250.22945	307
250.25067	303
250.2719	301
250.29312	304
250.31435	305
250.33557	307
250.3568	304
250.37802	301
250.39925	308
250.42047	301
250.4417	305
250.46292	308
250.48415	307
250.50537	302
250.5266	303
250.54782	303
250.56903	303
250.59026	306
250.61148	303
250.63271	306
250.65393	309
250.67516	301
250.69637	310
250.71759	305
250.73882	304
250.76004	304
250.78125	303
250.80247	301
250.8237	303
250.84491	304
250.86613	304
250.88736	298
250.90857	304
250.92979	299
250.95102	305
250.97223	305
250.99345	305
251.01468	306
251.03589	302
251.05711	305
251.07832	308
251.09955	304
251.12076	304
251.14198	302
251.16319	298
251.18442	306
251.20563	305
251.22685	297
251.24806	306
251.26927	311
251.2905	302
251.31171	302
251.33293	311
251.35414	305
251.37535	304
251.39658	307
251.41779	299
251.439	310
251.46022	300
251.48143	305
251.50264	301
251.52385	309
251.54507	309
251.56628	306
251.58749	301
251.6087	311
251.62991	303
251.65114	308
251.67235	305
251.69356	300
251.71477	305
251.73598	304
251.75719	306
251.7784	307
251.79961	311
251.82082	306
251.84203	303
251.86324	309
251.88446	300
251.90567	304
251.92688	309
251.94807	308
251.96928	302
251.99049	306
252.0117	302
252.03291	300
252.05412	304
252.07533	305
252.09654	306
252.11775	300
252.13896	304
252.16016	298
252.18137	302
252.20258	298
252.22379	305
252.245	307
252.26619	302
252.2874	306
252.30861	306
252.32982	305
252.35101	307
252.37222	304
252.39343	308
252.41463	304
252.43584	304
252.45705	301
252.47824	303
252.49945	306
252.52066	303
252.54185	306
252.56306	313
252.58426	307
252.60547	304
252.62666	302
252.64787	306
252.66907	307
252.69028	306
252.71147	301
252.73268	297
252.75388	307
252.77509	299
252.79628	299
