# wl center_tx left_tx right_tx top_tx bottom_tx
192.2293989 0.0011204 0.0011011 0.0010080 0.0010594 0.0011108
192.2509409 0.0010589 0.0011248 0.0010172 0.0010936 0.0010693
192.2724630 0.0011275 0.0011582 0.0010239 0.0011122 0.0011122
192.2940051 0.0012523 0.0012056 0.0011419 0.0011547 0.0012311
192.3155472 0.0012549 0.0012221 0.0011237 0.0011770 0.0012385
192.3370893 0.0012624 0.0012449 0.0011663 0.0012580 0.0012493
192.3586414 0.0015507 0.0014491 0.0014173 0.0014745 0.0015190
192.3801835 0.0019978 0.0021440 0.0017737 0.0019101 0.0020758
192.4017056 0.0022703 0.0021448 0.0021677 0.0021448 0.0021220
192.4232476 0.0022721 0.0020713 0.0019973 0.0020713 0.0020713
192.4447897 0.0018760 0.0018174 0.0018174 0.0018174 0.0018174
192.4663318 0.0020158 0.0019097 0.0016763 0.0017506 0.0018142
192.4878639 0.0017517 0.0017281 0.0016024 0.0016967 0.0017359
192.5094060 0.0015792 0.0015175 0.0015114 0.0015299 0.0015237
192.5309481 0.0017232 0.0017778 0.0017310 0.0016764 0.0016608
192.5524902 0.0019968 0.0020150 0.0018874 0.0017780 0.0019512
192.5740223 0.0015623 0.0015182 0.0015182 0.0015560 0.0014930
192.5955644 0.0015128 0.0014066 0.0011784 0.0014173 0.0013695
192.6171065 0.0015778 0.0017311 0.0015011 0.0014819 0.0016097
192.6386486 0.0018538 0.0018718 0.0016747 0.0018718 0.0019255
192.6601707 0.0016821 0.0018496 0.0016123 0.0015215 0.0016681
192.6817128 0.0013061 0.0012878 0.0011965 0.0012695 0.0012924
192.7032648 0.0011841 0.0012116 0.0011133 0.0011251 0.0011723
192.7247870 0.0012305 0.0012704 0.0011951 0.0011818 0.0012704
192.7463290 0.0017090 0.0015506 0.0015374 0.0016694 0.0015638
192.7678612 0.0018613 0.0017678 0.0016821 0.0017133 0.0017678
192.7894032 0.0013011 0.0013485 0.0012537 0.0013432 0.0016961
192.8109453 0.0012087 0.0012048 0.0010953 0.0011462 0.0012127
192.8324675 0.0011587 0.0011904 0.0010742 0.0011622 0.0011552
192.8540096 0.0011908 0.0011611 0.0010127 0.0010683 0.0011611
192.8755517 0.0014028 0.0014422 0.0012207 0.0013290 0.0013733
192.8970838 0.0016026 0.0016368 0.0015341 0.0015204 0.0015615
192.9186259 0.0014429 0.0014268 0.0012444 0.0013732 0.0014161
192.9401580 0.0012125 0.0012239 0.0011061 0.0011821 0.0012696
192.9617001 0.0011818 0.0011686 0.0010059 0.0011221 0.0011221
192.9832222 0.0010850 0.0011045 0.0009807 0.0010459 0.0010556
193.0047643 0.0011562 0.0011459 0.0010567 0.0010738 0.0011356
193.0262964 0.0012055 0.0012899 0.0011010 0.0011854 0.0012417
193.0478385 0.0014942 0.0014192 0.0013817 0.0014567 0.0014835
193.0693606 0.0013695 0.0014518 0.0012511 0.0013025 0.0013695
193.0909127 0.0011122 0.0011648 0.0010746 0.0010445 0.0011385
193.1124348 0.0011055 0.0011469 0.0010704 0.0011342 0.0012234
193.1339770 0.0011196 0.0011135 0.0010679 0.0010953 0.0011470
193.1555091 0.0010477 0.0010567 0.0009843 0.0010145 0.0010779
193.1770512 0.0010822 0.0013122 0.0010577 0.0011466 0.0011834
193.1985733 0.0011553 0.0020402 0.0010351 0.0011453 0.0011987
193.2201054 0.0012343 0.0017097 0.0010425 0.0011468 0.0011885
193.2416475 0.0013224 0.0014013 0.0012853 0.0013085 0.0013734
193.2631697 0.0012795 0.0012457 0.0011440 0.0011629 0.0012193
193.2847118 0.0011662 0.0011913 0.0010499 0.0010184 0.0012039
193.3062439 0.0010734 0.0011147 0.0009820 0.0010793 0.0011324
193.3277760 0.0010967 0.0012240 0.0010128 0.0011054 0.0011517
193.3493181 0.0010869 0.0011186 0.0009860 0.0010350 0.0011359
193.3708402 0.0011228 0.0011837 0.0010358 0.0011199 0.0011837
193.3923724 0.0010982 0.0011435 0.0010104 0.0010407 0.0011466
193.4139145 0.0011589 0.0011658 0.0011179 0.0011726 0.0012136
193.4354366 0.0013254 0.0013216 0.0011756 0.0012294 0.0012947
193.4569687 0.0011599 0.0012302 0.0010826 0.0011388 0.0011634
193.4785108 0.0012066 0.0011974 0.0011483 0.0011022 0.0012281
193.5000330 0.0011660 0.0011805 0.0010587 0.0010877 0.0011892
193.5215651 0.0011230 0.0011827 0.0010462 0.0010917 0.0011543
193.5430972 0.0010764 0.0011130 0.0010062 0.0010596 0.0010905
193.5646394 0.0011029 0.0011896 0.0010273 0.0010833 0.0011952
193.5861615 0.0011230 0.0011230 0.0010163 0.0010893 0.0011399
193.6076936 0.0011810 0.0012184 0.0010402 0.0011121 0.0011466
193.6292158 0.0011641 0.0012010 0.0010566 0.0011457 0.0011580
193.6507579 0.0011805 0.0012706 0.0011505 0.0011405 0.0012506
193.6722900 0.0011750 0.0011979 0.0011028 0.0011421 0.0011553
193.6938121 0.0011759 0.0011820 0.0010195 0.0010977 0.0011729
193.7153443 0.0011335 0.0011679 0.0010562 0.0010763 0.0011765
193.7368664 0.0011580 0.0012339 0.0010484 0.0010906 0.0011946
193.7583985 0.0011065 0.0011850 0.0010561 0.0010561 0.0011710
193.7799407 0.0010941 0.0012144 0.0010185 0.0011276 0.0011920
193.8014728 0.0011471 0.0011360 0.0010358 0.0010692 0.0011416
193.8229949 0.0011233 0.0011902 0.0010481 0.0011038 0.0011735
193.8445271 0.0011563 0.0012102 0.0010852 0.0011421 0.0011875
193.8660492 0.0011992 0.0012508 0.0011051 0.0011597 0.0012447
193.8875814 0.0012551 0.0012879 0.0011962 0.0012584 0.0013240
193.9091035 0.0012720 0.0013157 0.0011546 0.0011915 0.0012385
193.9306356 0.0012245 0.0013131 0.0010853 0.0012245 0.0012625
193.9521578 0.0011705 0.0013606 0.0011467 0.0011913 0.0012270
193.9736899 0.0011702 0.0017250 0.0010671 0.0011550 0.0012854
193.9952221 0.0012327 0.0014775 0.0011581 0.0012118 0.0012208
194.0167642 0.0011757 0.0015010 0.0011357 0.0011500 0.0012470
194.0382863 0.0011685 0.0011887 0.0010991 0.0012061 0.0012755
194.0598185 0.0011055 0.0012444 0.0010934 0.0011145 0.0011719
194.0813406 0.0012790 0.0013137 0.0012009 0.0012269 0.0013340
194.1028728 0.0012070 0.0011904 0.0010822 0.0011460 0.0012320
194.1243949 0.0011881 0.0012862 0.0011293 0.0011517 0.0012161
194.1459071 0.0011797 0.0012605 0.0011767 0.0011737 0.0012635
194.1674392 0.0012882 0.0013629 0.0012166 0.0012104 0.0013411
194.1889614 0.0012412 0.0012383 0.0011334 0.0011771 0.0013228
194.2104935 0.0011738 0.0012454 0.0011132 0.0011517 0.0012895
194.2320157 0.0011815 0.0012466 0.0011108 0.0011950 0.0012602
194.2535478 0.0011882 0.0013004 0.0011197 0.0011553 0.0012429
194.2750800 0.0012058 0.0012601 0.0011230 0.0011030 0.0012658
194.2966021 0.0012367 0.0012881 0.0011596 0.0011824 0.0012767
194.3181343 0.0012271 0.0014271 0.0011614 0.0011422 0.0013065
194.3396564 0.0012093 0.0017538 0.0011479 0.0011852 0.0012573
194.3611886 0.0011745 0.0012620 0.0010950 0.0011347 0.0012752
194.3827007 0.0012425 0.0012478 0.0011196 0.0011677 0.0012425
194.4042229 0.0012234 0.0012813 0.0011160 0.0011490 0.0013116
