Date and Time:                Thu Oct 27 14:10:59.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	307
255.46075	308
255.48203	305
255.5033	304
255.52457	300
255.54584	310
255.56711	305
255.58838	302
255.60965	307
255.63092	307
255.65221	310
255.67348	306
255.69475	309
255.71602	307
255.73729	313
255.75854	307
255.77982	305
255.80109	313
255.82236	304
255.84363	304
255.8649	304
255.88617	314
255.90744	310
255.92871	306
255.94998	308
255.97125	305
255.99251	305
256.01379	306
256.03506	305
256.0563	305
256.07758	311
256.09885	304
256.12012	303
256.14139	308
256.16266	307
256.18393	310
256.2052	309
256.22644	303
256.24771	306
256.26898	308
256.29025	308
256.31152	302
256.33279	299
256.35403	310
256.37531	309
256.39658	309
256.41785	306
256.43912	307
256.46036	309
256.48163	301
256.5029	311
256.52417	307
256.54544	310
256.56668	305
256.58795	304
256.60922	310
256.63049	305
256.65173	311
256.673	306
256.69427	313
256.71552	305
256.73679	305
256.75806	308
256.77933	309
256.80057	308
256.82184	301
256.84311	306
256.86435	304
256.88562	304
256.90689	305
256.92813	305
256.9494	310
256.97067	305
256.99191	302
257.01318	310
257.03445	304
257.05569	305
257.07697	307
257.09821	302
257.11948	303
257.14075	299
257.16199	306
257.18326	310
257.2045	306
257.22577	311
257.24704	309
257.26828	308
257.28955	310
257.31079	304
257.33206	304
257.3533	302
257.37457	310
257.39581	302
257.41708	305
257.43832	303
257.45959	310
257.48083	304
257.50211	307
257.52335	304
257.54462	306
257.56586	308
257.58713	308
257.60837	310
257.62964	301
257.65088	309
257.67215	303
257.69339	304
257.71466	301
257.7359	305
257.75714	308
257.77841	304
257.79965	306
257.82092	310
257.84216	299
257.86343	301
257.88467	308
257.90591	299
257.92719	312
257.94843	313
257.96967	303
257.99094	308
258.01218	303
258.03342	307
258.05469	305
258.07593	305
258.09717	309
258.11844	305
258.13968	306
258.16092	303
258.18219	307
258.20343	304
258.22467	308
258.24594	305
