Date and Time:                Thu Oct 27 13:47:19.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	4079
255.46075	3909
255.48203	3904
255.5033	3892
255.52457	3926
255.54584	3963
255.56711	3946
255.58838	3938
255.60965	3942
255.63092	3909
255.65221	3921
255.67348	3881
255.69475	3892
255.71602	3898
255.73729	3959
255.75854	3917
255.77982	3944
255.80109	3927
255.82236	3959
255.84363	3959
255.8649	3933
255.88617	3984
255.90744	3959
255.92871	4006
255.94998	3976
255.97125	3970
255.99251	3992
256.01379	4020
256.03506	3989
256.0563	4003
256.07758	4017
256.09885	4066
256.12012	4036
256.14139	4072
256.16266	4050
256.18393	4067
256.2052	4080
256.22644	4119
256.24771	4105
256.26898	4101
256.29025	4083
256.31152	4052
256.33279	4026
256.35403	4055
256.37531	4098
256.39658	4090
256.41785	4122
256.43912	4134
256.46036	4104
256.48163	4132
256.5029	4112
256.52417	4135
256.54544	4152
256.56668	4151
256.58795	4155
256.60922	4180
256.63049	4177
256.65173	4170
256.673	4193
256.69427	4231
256.71552	4201
256.73679	4182
256.75806	4235
256.77933	4242
256.80057	4209
256.82184	4207
256.84311	4205
256.86435	4192
256.88562	4185
256.90689	4183
256.92813	4144
256.9494	4165
256.97067	4151
256.99191	4176
257.01318	4162
257.03445	4190
257.05569	4172
257.07697	4154
257.09821	4174
257.11948	4177
257.14075	4196
257.16199	4210
257.18326	4246
257.2045	4246
257.22577	4257
257.24704	4300
257.26828	4306
257.28955	4272
257.31079	4247
257.33206	4282
257.3533	4310
257.37457	4300
257.39581	4302
257.41708	4293
257.43832	4294
257.45959	4331
257.48083	4308
257.50211	4310
257.52335	4349
257.54462	4355
257.56586	4338
257.58713	4370
257.60837	4330
257.62964	4382
257.65088	4390
257.67215	4408
257.69339	4437
257.71466	4469
257.7359	4472
257.75714	4446
257.77841	4458
257.79965	4476
257.82092	4438
257.84216	4468
257.86343	4475
257.88467	4492
