Date and Time:                Thu Oct 27 14:29:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	307
255.46075	305
255.48203	310
255.5033	306
255.52457	303
255.54584	310
255.56711	303
255.58838	306
255.60965	310
255.63092	308
255.65221	309
255.67348	304
255.69475	302
255.71602	305
255.73729	307
255.75854	303
255.77982	300
255.80109	308
255.82236	312
255.84363	309
255.8649	308
255.88617	310
255.90744	303
255.92871	306
255.94998	305
255.97125	309
255.99251	305
256.01379	302
256.03506	313
256.0563	304
256.07758	305
256.09885	307
256.12012	313
256.14139	303
256.16266	306
256.18393	308
256.2052	304
256.22644	306
256.24771	306
256.26898	304
256.29025	302
256.31152	309
256.33279	302
256.35403	304
256.37531	305
256.39658	304
256.41785	308
256.43912	300
256.46036	307
256.48163	302
256.5029	309
256.52417	306
256.54544	304
256.56668	304
256.58795	307
256.60922	307
256.63049	303
256.65173	307
256.673	307
256.69427	309
256.71552	302
256.73679	309
256.75806	307
256.77933	307
256.80057	303
256.82184	305
256.84311	303
256.86435	308
256.88562	310
256.90689	301
256.92813	307
256.9494	299
256.97067	312
256.99191	311
257.01318	311
257.03445	305
257.05569	307
257.07697	304
257.09821	300
257.11948	306
257.14075	312
257.16199	304
257.18326	307
257.2045	308
257.22577	306
257.24704	303
257.26828	306
257.28955	312
257.31079	307
257.33206	301
257.3533	309
257.37457	308
257.39581	304
257.41708	304
257.43832	303
257.45959	303
257.48083	304
257.50211	304
257.52335	303
257.54462	311
257.56586	300
257.58713	310
257.60837	301
257.62964	306
257.65088	306
257.67215	308
257.69339	296
257.71466	304
257.7359	308
257.75714	304
257.77841	295
257.79965	315
257.82092	302
257.84216	310
257.86343	302
257.88467	305
257.90591	303
257.92719	304
257.94843	307
257.96967	305
257.99094	303
258.01218	303
258.03342	302
258.05469	308
258.07593	298
258.09717	308
258.11844	296
258.13968	303
258.16092	305
258.18219	304
258.20343	306
258.22467	305
258.24594	308
