Date and Time:                Thu Oct 27 14:20:06.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
263.72189	302
263.74307	304
263.76428	308
263.78549	305
263.80667	303
263.82788	306
263.84909	302
263.87027	305
263.89148	304
263.91266	304
263.93387	305
263.95508	310
263.97626	307
263.99747	307
264.01868	305
264.03986	302
264.06107	303
264.08224	304
264.10345	302
264.12463	302
264.14584	308
264.16702	304
264.18823	300
264.20941	304
264.23062	311
264.25183	304
264.27301	306
264.29422	306
264.3154	295
264.33661	305
264.35779	303
264.379	301
264.40018	307
264.42136	309
264.44257	302
264.46375	305
264.48495	311
264.50613	303
264.52734	305
264.54852	312
264.56973	307
264.59091	295
264.61209	306
264.6333	307
264.65448	307
264.67569	304
264.69687	300
264.71805	304
264.73926	303
264.76044	309
264.78162	301
264.80283	304
264.82401	309
264.84518	305
264.86639	306
264.88757	306
264.90875	301
264.92996	300
264.95114	304
264.97232	303
264.99353	309
265.01471	302
265.03589	309
265.05707	307
265.07828	306
265.09946	301
265.12064	306
265.14182	313
265.16302	304
265.1842	302
265.20538	309
265.22656	309
265.24774	310
265.26895	301
265.29013	309
265.31131	309
265.33249	309
265.35367	313
265.37488	306
265.39606	307
265.41724	304
265.43842	311
265.45959	305
265.48077	306
265.50195	309
265.52316	306
265.54434	308
265.56552	303
265.5867	306
265.60788	308
265.62906	303
265.65024	305
265.67142	304
265.6926	307
265.71378	306
265.73499	312
265.75616	310
265.77734	323
265.79852	300
265.8197	309
265.84088	302
265.86206	305
265.88324	305
265.90442	304
265.9256	308
265.94678	307
265.96796	306
265.98914	308
266.01031	307
266.03149	308
266.05267	311
266.07385	307
266.095	304
266.11618	301
266.13736	308
266.15854	304
266.17972	307
266.2009	307
266.22208	309
266.24326	302
266.26443	307
266.28561	306
266.30679	304
266.32794	306
266.34912	312
266.3703	301
266.39148	303
266.41266	305
266.43384	309
266.45502	306
266.47617	300
266.49734	305
266.51852	306
266.5397	305
266.56088	304
266.58203	304
266.60321	314
266.62439	308
266.64557	303
266.66675	301
266.6879	303
266.70908	300
266.73026	306
266.75143	302
266.77258	312
266.79376	304
266.81494	308
266.83609	309
266.85727	306
266.87845	300
266.89963	303
266.92078	311
266.94196	299
266.96313	306
266.98428	311
267.00546	306
267.02664	306
267.04779	305
267.06897	309
267.09015	307
267.1113	307
267.13248	303
267.15363	303
267.1748	306
267.19598	302
267.21713	308
267.23831	303
267.25946	308
267.28064	305
267.30182	307
267.32297	301
267.34415	304
267.3653	300
267.38647	310
267.40762	302
267.4288	307
267.44995	306
267.47113	314
267.49228	309
267.51346	305
267.53461	308
267.55579	303
267.57693	307
267.59811	307
267.61926	300
267.64044	302
267.66159	307
267.68277	307
267.70392	302
267.72507	303
267.74625	303
267.7674	309
267.78857	313
267.80972	304
267.8309	309
267.85205	311
267.8732	306
267.89438	312
267.91553	304
267.93668	303
267.95786	304
267.979	307
268.00015	311
268.02133	302
268.04248	303
268.06363	313
268.08481	301
268.10596	303
268.12711	305
268.14828	301
268.16943	303
268.19058	310
268.21176	309
268.23291	304
268.25406	306
268.27521	308
268.29639	305
268.31754	302
268.33868	309
268.35983	304
268.38101	296
268.40216	305
268.42331	308
268.44446	303
268.46561	304
268.48679	304
268.50793	306
268.52908	306
268.55023	306
268.57138	309
268.59253	306
268.61371	311
268.63486	312
268.65601	304
268.67715	305
268.6983	305
268.71945	300
268.7406	302
268.76175	303
268.78293	306
268.80408	302
268.82523	307
268.84637	308
268.86752	307
268.88867	301
268.90982	299
268.93097	305
268.95212	309
268.97327	306
268.99442	308
269.01556	307
269.03671	304
269.05786	304
269.07901	315
