Date and Time:                Thu Oct 27 14:14:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
263.72189	304
263.74307	304
263.76428	306
263.78549	305
263.80667	301
263.82788	304
263.84909	312
263.87027	303
263.89148	307
263.91266	303
263.93387	305
263.95508	303
263.97626	310
263.99747	305
264.01868	309
264.03986	307
264.06107	298
264.08224	310
264.10345	306
264.12463	305
264.14584	306
264.16702	302
264.18823	305
264.20941	305
264.23062	309
264.25183	312
264.27301	309
264.29422	305
264.3154	310
264.33661	309
264.35779	307
264.379	304
264.40018	303
264.42136	305
264.44257	304
264.46375	312
264.48495	309
264.50613	307
264.52734	309
264.54852	301
264.56973	307
264.59091	310
264.61209	307
264.6333	302
264.65448	310
264.67569	304
264.69687	304
264.71805	310
264.73926	303
264.76044	317
264.78162	307
264.80283	307
264.82401	310
264.84518	307
264.86639	307
264.88757	305
264.90875	312
264.92996	313
264.95114	307
264.97232	308
264.99353	307
265.01471	305
265.03589	311
265.05707	306
265.07828	305
265.09946	315
265.12064	311
265.14182	307
265.16302	310
265.1842	304
265.20538	308
265.22656	312
265.24774	299
265.26895	309
265.29013	305
265.31131	306
265.33249	303
265.35367	311
265.37488	302
265.39606	304
265.41724	308
265.43842	310
265.45959	306
265.48077	301
265.50195	310
265.52316	309
