Date and Time:                Thu Oct 27 14:20:59.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277.1
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.43948	304
255.46075	311
255.48203	315
255.5033	310
255.52457	307
255.54584	314
255.56711	314
255.58838	305
255.60965	303
255.63092	307
255.65221	310
255.67348	306
255.69475	311
255.71602	308
255.73729	311
255.75854	305
255.77982	307
255.80109	308
255.82236	312
255.84363	312
255.8649	310
255.88617	313
255.90744	309
255.92871	312
255.94998	308
255.97125	309
255.99251	314
256.01379	310
256.03506	310
256.0563	308
256.07758	304
256.09885	307
256.12012	310
256.14139	312
256.16266	309
256.18393	309
256.2052	307
256.22644	309
256.24771	310
256.26898	304
256.29025	305
256.31152	305
256.33279	306
256.35403	303
256.37531	315
256.39658	308
256.41785	309
256.43912	309
256.46036	307
256.48163	311
256.5029	305
256.52417	309
256.54544	311
256.56668	311
256.58795	307
256.60922	311
256.63049	303
256.65173	307
256.673	311
256.69427	306
256.71552	308
256.73679	314
256.75806	314
256.77933	301
256.80057	309
256.82184	312
256.84311	310
256.86435	310
256.88562	306
256.90689	311
256.92813	306
256.9494	302
256.97067	309
256.99191	306
257.01318	308
257.03445	314
257.05569	310
257.07697	305
257.09821	305
257.11948	305
257.14075	303
257.16199	306
257.18326	304
257.2045	303
257.22577	311
257.24704	305
257.26828	304
257.28955	315
257.31079	307
257.33206	306
257.3533	310
257.37457	309
257.39581	308
257.41708	313
257.43832	300
257.45959	309
257.48083	308
257.50211	301
257.52335	307
257.54462	304
257.56586	305
257.58713	310
257.60837	310
257.62964	305
257.65088	310
257.67215	310
257.69339	313
257.71466	305
257.7359	316
257.75714	308
257.77841	308
257.79965	308
257.82092	306
257.84216	305
257.86343	310
257.88467	306
257.90591	311
257.92719	305
257.94843	308
257.96967	309
257.99094	309
258.01218	306
258.03342	309
258.05469	308
258.07593	309
258.09717	305
258.11844	298
258.13968	308
258.16092	318
258.18219	308
258.20343	310
258.22467	307
258.24594	302
