Date and Time:                Wed Apr 6 15:53:47.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	310
271.10059	302
271.11035	298
271.12012	311
271.12985	308
271.13962	307
271.14938	308
271.15915	311
271.16891	310
271.17868	308
271.18845	300
271.19818	309
271.20795	306
271.21771	307
271.22748	309
271.23724	305
271.24701	305
271.25674	308
271.26651	311
271.27628	304
271.28604	306
271.29581	306
271.30554	303
271.31531	304
271.32507	304
271.33484	309
271.34457	306
271.35434	309
271.36411	310
271.37387	306
271.38361	306
271.39337	315
271.40314	307
271.4129	305
271.42264	307
271.4324	303
271.44217	310
271.45193	301
271.46167	304
271.47144	313
271.4812	307
271.49094	303
271.5007	307
271.51047	307
271.5202	302
271.52997	297
271.53973	305
271.54947	298
271.55923	306
271.569	302
271.57874	312
271.5885	308
271.59827	305
271.608	310
271.61777	306
271.62753	311
271.63727	305
271.64703	310
271.6568	303
271.66653	311
271.6763	298
271.68604	312
271.6958	309
271.70557	303
271.7153	313
271.72507	305
271.7348	305
271.74457	312
271.7543	308
271.76407	308
271.77383	309
271.78357	307
271.79333	308
271.80307	308
271.81284	302
271.82257	308
271.83234	308
271.84207	305
271.85184	303
271.86157	314
271.87134	307
271.88107	311
271.89084	308
271.9006	311
271.91034	305
271.9201	308
271.92984	308
271.93958	307
271.94934	304
271.95908	305
271.96884	310
271.97858	307
271.98834	306
271.99808	309
272.00784	305
272.01758	308
272.02734	304
272.03708	311
272.04681	310
272.05658	306
272.06631	310
272.07608	301
272.08582	305
272.09558	309
272.10532	305
272.11505	309
272.12482	305
272.13455	312
272.14432	310
272.15405	305
272.16379	302
272.17355	307
272.18329	307
272.19302	304
272.20279	307
272.21252	310
272.22226	305
272.23203	304
272.24176	306
272.25153	305
272.26126	311
272.271	305
272.28073	305
272.2905	312
272.30023	305
272.30997	303
272.31973	308
272.32947	298
272.3392	309
272.34897	306
272.3587	302
272.36844	306
272.37817	314
272.38794	302
