Date and Time:                Wed Apr 6 15:54:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	309
271.10059	307
271.11035	308
271.12012	306
271.12985	309
271.13962	305
271.14938	305
271.15915	307
271.16891	303
271.17868	311
271.18845	306
271.19818	307
271.20795	306
271.21771	308
271.22748	305
271.23724	309
271.24701	312
271.25674	308
271.26651	302
271.27628	306
271.28604	305
271.29581	313
271.30554	307
271.31531	302
271.32507	308
271.33484	305
271.34457	308
271.35434	304
271.36411	300
271.37387	299
271.38361	310
271.39337	307
271.40314	309
271.4129	309
271.42264	304
271.4324	310
271.44217	306
271.45193	304
271.46167	307
271.47144	309
271.4812	307
271.49094	301
271.5007	311
271.51047	298
271.5202	307
271.52997	311
271.53973	309
271.54947	315
271.55923	311
271.569	307
271.57874	306
271.5885	309
271.59827	306
271.608	308
271.61777	308
271.62753	311
271.63727	313
271.64703	306
271.6568	311
271.66653	316
271.6763	307
271.68604	310
271.6958	301
271.70557	305
271.7153	308
271.72507	301
271.7348	302
271.74457	304
271.7543	308
271.76407	304
271.77383	301
271.78357	304
271.79333	308
271.80307	308
271.81284	305
271.82257	308
271.83234	308
271.84207	310
271.85184	306
271.86157	304
271.87134	311
271.88107	311
271.89084	302
271.9006	309
271.91034	311
271.9201	307
271.92984	300
271.93958	310
271.94934	308
271.95908	307
271.96884	306
271.97858	306
271.98834	307
271.99808	305
272.00784	307
272.01758	306
272.02734	310
272.03708	310
272.04681	302
272.05658	307
272.06631	311
272.07608	308
272.08582	310
272.09558	301
272.10532	308
272.11505	306
272.12482	305
272.13455	308
272.14432	309
272.15405	307
272.16379	310
272.17355	312
272.18329	308
272.19302	314
272.20279	310
272.21252	305
272.22226	308
272.23203	307
272.24176	303
272.25153	309
272.26126	306
272.271	311
272.28073	295
272.2905	305
272.30023	309
272.30997	309
272.31973	305
272.32947	310
272.3392	303
272.34897	305
272.3587	304
272.36844	310
272.37817	306
272.38794	303
