Date and Time:                Wed Apr 6 15:56:03.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	313
271.10059	317
271.11035	302
271.12012	314
271.12985	307
271.13962	307
271.14938	303
271.15915	308
271.16891	305
271.17868	303
271.18845	303
271.19818	304
271.20795	310
271.21771	301
271.22748	306
271.23724	304
271.24701	307
271.25674	310
271.26651	306
271.27628	307
271.28604	305
271.29581	308
271.30554	308
271.31531	301
271.32507	307
271.33484	304
271.34457	306
271.35434	304
271.36411	304
271.37387	307
271.38361	302
271.39337	303
271.40314	306
271.4129	309
271.42264	310
271.4324	307
271.44217	307
271.45193	307
271.46167	305
271.47144	307
271.4812	313
271.49094	308
271.5007	307
271.51047	303
271.5202	310
271.52997	311
271.53973	306
271.54947	309
271.55923	303
271.569	306
271.57874	302
271.5885	306
271.59827	312
271.608	310
271.61777	306
271.62753	306
271.63727	309
271.64703	307
271.6568	314
271.66653	309
271.6763	300
271.68604	302
271.6958	304
271.70557	305
271.7153	306
271.72507	310
271.7348	306
271.74457	308
271.7543	309
271.76407	309
271.77383	308
271.78357	301
271.79333	308
271.80307	308
271.81284	314
271.82257	310
271.83234	309
271.84207	304
271.85184	310
271.86157	305
271.87134	313
271.88107	312
271.89084	308
271.9006	309
271.91034	309
271.9201	304
271.92984	310
271.93958	314
271.94934	310
271.95908	305
271.96884	314
271.97858	301
271.98834	302
271.99808	301
272.00784	311
272.01758	308
272.02734	310
272.03708	304
272.04681	304
272.05658	307
272.06631	304
272.07608	308
272.08582	317
272.09558	300
272.10532	304
272.11505	311
272.12482	307
272.13455	302
272.14432	305
272.15405	305
272.16379	305
272.17355	301
272.18329	301
272.19302	309
272.20279	306
272.21252	305
272.22226	305
272.23203	300
272.24176	310
272.25153	311
272.26126	307
272.271	308
272.28073	303
272.2905	308
272.30023	304
272.30997	302
272.31973	302
272.32947	303
272.3392	313
272.34897	310
272.3587	304
272.36844	311
272.37817	305
272.38794	310
