Date and Time:                Wed Apr 6 17:34:12.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              281
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



271.09082	310
271.10059	311
271.11035	299
271.12012	309
271.12985	303
271.13962	308
271.14938	307
271.15915	303
271.16891	304
271.17868	303
271.18845	301
271.19818	307
271.20795	311
271.21771	309
271.22748	300
271.23724	308
271.24701	311
271.25674	307
271.26651	309
271.27628	306
271.28604	307
271.29581	307
271.30554	309
271.31531	306
271.32507	307
271.33484	307
271.34457	302
271.35434	307
271.36411	303
271.37387	300
271.38361	309
271.39337	303
271.40314	305
271.4129	305
271.42264	300
271.4324	306
271.44217	310
271.45193	304
271.46167	305
271.47144	309
271.4812	310
271.49094	306
271.5007	305
271.51047	308
271.5202	302
271.52997	306
271.53973	308
271.54947	299
271.55923	303
271.569	302
271.57874	299
271.5885	308
271.59827	303
271.608	302
271.61777	308
271.62753	306
271.63727	305
271.64703	300
271.6568	304
271.66653	305
271.6763	304
271.68604	309
271.6958	307
271.70557	308
271.7153	310
271.72507	304
271.7348	306
271.74457	307
271.7543	309
271.76407	307
271.77383	308
271.78357	301
271.79333	302
271.80307	304
271.81284	307
271.82257	306
271.83234	307
271.84207	306
271.85184	302
271.86157	303
271.87134	301
271.88107	302
271.89084	305
271.9006	308
271.91034	303
271.9201	305
271.92984	306
271.93958	310
271.94934	301
271.95908	304
271.96884	304
271.97858	304
271.98834	310
271.99808	308
272.00784	309
272.01758	306
272.02734	308
272.03708	307
272.04681	304
272.05658	307
272.06631	308
272.07608	313
272.08582	305
272.09558	309
272.10532	303
272.11505	302
272.12482	301
272.13455	301
272.14432	303
272.15405	310
272.16379	299
272.17355	303
272.18329	306
272.19302	305
272.20279	307
272.21252	308
272.22226	303
272.23203	304
272.24176	306
272.25153	305
272.26126	302
272.271	303
272.28073	304
272.2905	305
272.30023	305
272.30997	311
272.31973	308
272.32947	307
272.3392	307
272.34897	305
272.3587	308
272.36844	304
272.37817	295
272.38794	304
