Date and Time:                Wed May 25 12:29:52.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	302
262.0311	306
262.04095	296
262.05078	306
262.06061	306
262.07043	303
262.08026	302
262.09009	303
262.09991	304
262.10974	307
262.11957	302
262.12939	307
262.13922	301
262.14905	300
262.15887	304
262.1687	299
262.17853	312
262.18835	302
262.19818	311
262.20801	308
262.21783	306
262.22766	302
262.23749	298
262.24731	301
262.25714	301
262.26697	299
262.27676	303
262.28659	306
262.29642	296
262.30624	302
262.31607	302
262.3259	302
262.33572	305
262.34555	299
262.35538	304
262.3652	298
262.37503	299
262.38486	305
262.39465	299
262.40448	297
262.41431	300
262.42413	304
262.43396	297
262.44379	299
262.45361	303
262.46344	303
262.47324	303
262.48306	304
262.49289	302
262.50272	304
262.51254	300
262.52237	303
262.53217	305
262.54199	302
262.55182	303
262.56165	299
262.57147	296
262.5813	299
262.59109	303
262.60092	301
262.61075	308
262.62057	301
262.63037	305
262.6402	298
262.65002	301
262.65985	302
262.66968	298
262.67947	301
262.6893	299
262.69913	294
262.70895	302
262.71875	304
262.72858	303
262.7384	305
262.7482	300
262.75803	305
262.76785	310
262.77768	300
262.78748	299
262.7973	301
262.80713	304
262.81693	307
262.82675	306
262.83658	301
262.84637	300
262.8562	303
262.86603	302
262.87585	298
262.88565	298
262.89548	296
262.90527	304
262.9151	300
262.92493	301
262.93472	304
262.94455	304
262.95438	302
262.96417	302
262.974	303
262.98383	307
262.99362	298
263.00345	305
263.01324	300
263.02307	304
263.0329	297
263.04269	304
263.05252	304
263.06232	297
263.07214	302
263.08194	299
263.09177	302
263.10159	298
263.11139	302
263.12122	303
263.13101	298
263.14084	307
263.15063	300
263.16046	304
263.17026	301
263.18008	295
263.18988	295
263.19971	302
263.2095	305
263.21933	305
263.22913	305
263.23895	298
263.24875	301
263.25858	303
263.26837	305
263.2782	306
263.28799	300
263.29782	296
263.30762	304
263.31744	302
263.32724	310
