Date and Time:                Wed May 25 12:28:43.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	326
262.0311	322
262.04095	318
262.05078	321
262.06061	320
262.07043	318
262.08026	316
262.09009	320
262.09991	324
262.10974	321
262.11957	319
262.12939	321
262.13922	315
262.14905	312
262.15887	323
262.1687	319
262.17853	314
262.18835	317
262.19818	319
262.20801	315
262.21783	313
262.22766	322
262.23749	318
262.24731	317
262.25714	320
262.26697	321
262.27676	325
262.28659	323
262.29642	321
262.30624	318
262.31607	321
262.3259	321
262.33572	321
262.34555	325
262.35538	320
262.3652	314
262.37503	315
262.38486	325
262.39465	320
262.40448	324
262.41431	324
262.42413	325
262.43396	323
262.44379	322
262.45361	323
262.46344	321
262.47324	325
262.48306	323
262.49289	322
262.50272	323
262.51254	321
262.52237	328
262.53217	318
262.54199	318
262.55182	317
262.56165	321
262.57147	316
262.5813	320
262.59109	312
262.60092	327
262.61075	323
262.62057	321
262.63037	322
262.6402	321
262.65002	322
262.65985	317
262.66968	323
262.67947	321
262.6893	316
262.69913	324
262.70895	318
262.71875	325
262.72858	325
262.7384	318
262.7482	317
262.75803	320
262.76785	328
262.77768	319
262.78748	320
262.7973	321
262.80713	322
262.81693	322
262.82675	318
262.83658	325
262.84637	323
262.8562	324
262.86603	326
262.87585	321
262.88565	320
262.89548	324
262.90527	322
262.9151	321
262.92493	325
262.93472	323
262.94455	319
262.95438	317
262.96417	323
262.974	318
262.98383	322
262.99362	325
263.00345	325
263.01324	323
263.02307	316
263.0329	320
263.04269	320
263.05252	322
263.06232	322
263.07214	323
263.08194	320
263.09177	321
263.10159	319
263.11139	323
263.12122	321
263.13101	317
263.14084	325
263.15063	319
263.16046	325
263.17026	322
263.18008	324
263.18988	323
263.19971	323
263.2095	321
263.21933	325
263.22913	322
263.23895	319
263.24875	324
263.25858	323
263.26837	326
263.2782	327
263.28799	314
263.29782	325
263.30762	323
263.31744	321
263.32724	321
