Date and Time:                Wed May 25 12:27:06.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	325
262.0311	322
262.04095	322
262.05078	321
262.06061	325
262.07043	320
262.08026	320
262.09009	322
262.09991	320
262.10974	323
262.11957	319
262.12939	322
262.13922	316
262.14905	326
262.15887	321
262.1687	317
262.17853	319
262.18835	317
262.19818	321
262.20801	317
262.21783	322
262.22766	327
262.23749	318
262.24731	315
262.25714	320
262.26697	319
262.27676	322
262.28659	314
262.29642	324
262.30624	323
262.31607	328
262.3259	322
262.33572	322
262.34555	319
262.35538	320
262.3652	321
262.37503	324
262.38486	315
262.39465	326
262.40448	322
262.41431	319
262.42413	326
262.43396	321
262.44379	316
262.45361	322
262.46344	323
262.47324	325
262.48306	324
262.49289	317
262.50272	311
262.51254	330
262.52237	316
262.53217	321
262.54199	323
262.55182	317
262.56165	323
262.57147	323
262.5813	322
262.59109	321
262.60092	322
262.61075	324
262.62057	319
262.63037	326
262.6402	321
262.65002	319
262.65985	317
262.66968	318
262.67947	321
262.6893	322
262.69913	323
262.70895	321
262.71875	329
262.72858	327
262.7384	324
262.7482	316
262.75803	323
262.76785	322
262.77768	326
262.78748	318
262.7973	316
262.80713	331
262.81693	321
262.82675	317
262.83658	326
262.84637	317
262.8562	322
262.86603	323
262.87585	321
262.88565	321
262.89548	320
262.90527	319
262.9151	324
262.92493	324
262.93472	319
262.94455	323
262.95438	322
262.96417	329
262.974	321
262.98383	323
262.99362	319
263.00345	320
263.01324	318
263.02307	322
263.0329	324
263.04269	320
263.05252	325
263.06232	317
263.07214	321
263.08194	319
263.09177	323
263.10159	327
263.11139	322
263.12122	320
263.13101	320
263.14084	319
263.15063	327
263.16046	319
263.17026	319
263.18008	322
263.18988	324
263.19971	322
263.2095	317
263.21933	322
263.22913	316
263.23895	321
263.24875	330
263.25858	318
263.26837	324
263.2782	317
263.28799	322
263.29782	324
263.30762	327
263.31744	315
263.32724	319
