Date and Time:                Fri Oct 7 12:53:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	392
177.99368	381
178.0153	372
178.03691	381
178.05853	387
178.08015	378
178.10176	375
178.12338	380
178.145	372
178.16661	378
178.18823	382
178.20985	381
178.23146	379
178.25308	385
178.27469	379
178.29631	373
178.31793	384
178.33954	377
178.36116	380
178.38277	373
178.40439	379
178.42599	383
178.44762	379
178.46922	374
178.49084	380
178.51245	376
178.53407	370
178.55568	375
178.5773	363
178.59891	361
178.62053	361
178.64214	375
178.66376	373
178.68536	370
178.70697	373
178.72859	376
178.7502	371
178.77182	382
178.79343	373
178.81503	382
178.83665	372
178.85826	379
178.87987	366
178.90149	376
178.9231	380
178.9447	363
178.96631	378
178.98793	363
179.00954	378
179.03114	372
179.05275	369
179.07437	375
179.09598	367
179.11758	373
179.13919	372
179.16081	368
179.18242	378
179.20403	387
179.22563	374
179.24724	372
179.26884	373
179.29047	362
179.31207	380
179.33368	371
179.35529	367
179.37689	366
179.3985	373
179.4201	366
179.44171	391
179.46332	374
179.48492	371
179.50653	370
179.52814	383
179.54974	367
179.57135	384
179.59296	378
179.61456	371
179.63617	366
179.65778	368
179.67938	384
179.70099	368
179.7226	375
179.7442	357
179.76581	365
179.78741	368
179.80902	366
179.83063	360
179.85223	365
179.87383	372
179.89543	367
179.91704	367
179.93864	361
179.96025	361
179.98186	369
180.00345	363
180.02505	360
180.04666	368
180.06827	365
180.08986	364
180.11147	361
180.13307	357
180.15468	360
180.17627	369
180.19788	362
180.21948	358
180.24107	361
180.26268	358
180.28429	367
180.30589	379
180.32748	379
180.34909	356
180.37068	361
180.39229	362
180.41389	355
180.43549	367
180.45709	363
180.47868	363
180.50029	365
180.5219	368
180.54349	372
180.56509	359
180.58669	358
180.60829	359
180.62988	360
180.65149	365
180.67308	377
180.69469	368
180.71628	358
180.73788	366
180.75948	362
180.78107	370
180.80267	362
180.82426	352
180.84587	365
