Date and Time:                Fri Sep 9 17:11:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.16
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              384.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



363.44	21608
363.46072	20563
363.48141	20528
363.50214	20614
363.52283	20928
363.54355	21000
363.56424	20902
363.58496	20888
363.60565	20867
363.62634	20821
363.64706	20674
363.66776	20511
363.68848	20427
363.70917	20622
363.72986	20623
363.75058	20577
363.77127	20608
363.79199	20584
363.81268	20587
363.83337	20401
363.8541	20186
363.87479	20223
363.89548	20233
363.9162	20184
363.93689	20011
363.95758	19774
363.9783	19669
363.99899	19487
364.01968	19493
364.04037	19610
364.0611	19693
364.08179	19685
364.10248	19542
364.12317	19355
364.14389	19276
364.16458	19162
364.18527	19215
364.20596	19272
364.22668	19429
364.24738	19364
364.26807	19265
364.28876	19107
364.30945	19176
364.33017	18993
364.35086	18902
364.37155	18903
364.39224	18805
364.41293	18692
364.43362	18582
364.45435	18478
364.47504	18420
364.49573	18336
364.51642	18216
364.53711	18140
364.5578	18062
364.57849	17994
364.59918	17804
364.61987	17754
364.64056	17746
364.66129	17775
364.68198	17799
364.70267	17767
364.72336	17727
364.74405	17585
364.76474	17416
364.78543	17539
364.80612	17454
364.82681	17245
364.8475	17189
364.86819	17208
364.88889	17162
364.90958	16953
364.93027	16726
364.95096	16704
364.97165	16664
364.99234	16642
365.01303	16573
365.03369	16530
365.05438	16434
365.07507	16383
365.09576	16315
365.11646	16387
365.13715	16425
365.15784	16392
365.17853	16493
365.19922	16418
365.21991	16408
365.24057	16329
365.26126	16209
365.28195	16196
365.30264	16271
365.32333	16345
365.34402	16357
365.36469	16334
365.38538	16226
365.40607	16195
365.42676	16211
365.44745	16300
365.46811	16390
365.4888	16385
365.50949	16384
365.53018	16468
365.55084	16381
365.57153	16458
365.59222	16485
365.61292	16634
365.63358	16685
365.65427	16844
365.67496	16824
365.69565	16865
365.71631	16959
365.737	17015
365.75769	17085
365.77835	17127
365.79904	17168
365.81973	17102
