Date and Time:                Fri Sep 9 17:06:32.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.03
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              384.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



363.44	18403
363.46072	17453
363.48141	17520
363.50214	17611
363.52283	17800
363.54355	17855
363.56424	17778
363.58496	17726
363.60565	17731
363.62634	17716
363.64706	17585
363.66776	17473
363.68848	17426
363.70917	17545
363.72986	17641
363.75058	17670
363.77127	17601
363.79199	17688
363.81268	17671
363.83337	17505
363.8541	17395
363.87479	17467
363.89548	17487
363.9162	17403
363.93689	17425
363.95758	17327
363.9783	17214
363.99899	17119
364.01968	17133
364.04037	17310
364.0611	17461
364.08179	17474
364.10248	17445
364.12317	17368
364.14389	17244
364.16458	17247
364.18527	17380
364.20596	17493
364.22668	17630
364.24738	17678
364.26807	17612
364.28876	17629
364.30945	17612
364.33017	17650
364.35086	17581
364.37155	17729
364.39224	17689
364.41293	17654
364.43362	17571
364.45435	17499
364.47504	17545
364.49573	17571
364.51642	17500
364.53711	17446
364.5578	17485
364.57849	17408
364.59918	17396
364.61987	17463
364.64056	17394
364.66129	17470
364.68198	17622
364.70267	17656
364.72336	17695
364.74405	17565
364.76474	17590
364.78543	17605
364.80612	17594
364.82681	17451
364.8475	17430
364.86819	17519
364.88889	17505
364.90958	17429
364.93027	17197
364.95096	17181
364.97165	17196
364.99234	17152
365.01303	17160
365.03369	17137
365.05438	17099
365.07507	17085
365.09576	17077
365.11646	17041
365.13715	17093
365.15784	17240
365.17853	17225
365.19922	17241
365.21991	17266
365.24057	17189
365.26126	16959
365.28195	17101
365.30264	17039
365.32333	17143
365.34402	17230
365.36469	17205
365.38538	17056
365.40607	16983
365.42676	16933
365.44745	17064
365.46811	17225
365.4888	17180
365.50949	17203
365.53018	17192
365.55084	17144
365.57153	17193
365.59222	17223
365.61292	17243
365.63358	17462
365.65427	17469
365.67496	17415
365.69565	17470
365.71631	17492
365.737	17568
365.75769	17567
365.77835	17604
365.79904	17525
365.81973	17458
