# wl center%tx left%tx right%tx top%tx bottom%tx
 257.57980  0.00241  0.00121  0.00241 -0.00483  0.00724
 257.60106  0.00542  0.00000  0.00301  0.00662  0.00903
 257.62228  0.00060 -0.00300 -0.00180  0.00000  0.00240
 257.64354  0.00841  0.00481  0.00060  0.00420  0.00360
 257.66476  0.00000 -0.00481 -0.00060  0.00000 -0.00541
 257.68601  0.00180 -0.00060  0.00300  0.00780 -0.00060
 257.70725  0.01192  0.00298  0.00834  0.01132  0.00834
 257.72850 -0.00832 -0.00357  0.00595 -0.00357  0.00178
 257.74973  0.01118  0.00589  0.01766  0.00471  0.00530
 257.77098  0.00000  0.00293 -0.00059  0.00117  0.00351
 257.79221  0.00293  0.00117  0.00176  0.00469  0.00059
 257.81343  0.00059  0.00176  0.00411  0.00176  0.00000
 257.83468 -0.00525 -0.00117 -0.00175  0.00466 -0.00117
 257.85591 -0.00405  0.00000 -0.00116 -0.00058  0.00579
 257.87716  0.00463 -0.00174  0.00347  0.00058  0.00579
 257.89839  0.00405  0.00173  0.00289  0.00694  0.00463
 257.91964  0.00290 -0.00232 -0.00290 -0.00058  0.00000
 257.94086  0.00174 -0.00116  0.00116 -0.00290 -0.00058
 257.96209 -0.00058 -0.00116  0.00815  0.00407  0.00291
 257.98334  0.00174  0.00116 -0.00348 -0.00232  0.00116
 258.00457  0.00406  0.00811  0.00579 -0.00058  0.00058
 258.02582 -0.00116  0.00231 -0.00289  0.00289 -0.00173
 258.04705  0.00753  0.00579  0.00116  0.00058 -0.00406
 258.06827 -0.00349 -0.00233 -0.00407 -0.00116  0.00116
 258.08952  0.00000 -0.00116  0.00464  0.00754  0.00348
 258.11075 -0.00174 -0.00405  0.00058  0.00405  0.00232
 258.13197  0.00058  0.00347 -0.00058  0.00116  0.00869
 258.15323  0.00288 -0.00806 -0.00345  0.00000  0.00000
 258.17445  0.00517 -0.00172  0.00345  0.00747  0.00402
 258.19568  0.01559  0.01501  0.01617  0.01501  0.01790
 258.21694  0.00173  0.00115  0.00518  0.00748  0.00173
 258.23816  0.00114  0.00858  0.00057  0.00401  0.00057
 258.25939  0.00000 -0.00628  0.00228 -0.00057 -0.00628
 258.28064  0.00854  0.00569  0.00285  0.00797  0.00342
 258.30187  0.00227  0.00680  0.00680 -0.00113  0.00170
 258.32309  0.01073  0.00226  0.00508  0.00564  0.00226
 258.34434  0.00452  0.00169  0.00169 -0.00056  0.00339
 258.36557  0.00960  0.00621  0.01356  0.00678  0.01073
 258.38679  0.00340  0.00226  0.00623  0.00283  0.00170
 258.40802  0.00169  0.00395  0.00676  0.00451  0.00282
 258.42927  0.00169 -0.00056 -0.01069 -0.00450  0.00113
 258.45049  0.00622  0.00057  0.00283 -0.00452 -0.00226
 258.47172  0.00396  0.00396  0.01473  0.00963  0.01699
 258.49294  0.00565 -0.00283 -0.00452  0.00565 -0.00283
 258.51420  0.00394  0.00450  0.00281  0.00281  0.00731
 258.53542  0.01338  0.00167  0.00446  0.00724  0.00892
 258.55664  0.00779  0.00278  0.00000  0.00278  0.00222
 258.57787 -0.00278 -0.00056  0.00889  0.00111  0.01055
 258.59912 -0.00222 -0.00611 -0.00611 -0.00500 -0.00333
 258.62035  0.00445  0.00445  0.00167  0.00500  0.00333
 258.64157 -0.00112 -0.00056 -0.00112  0.00056  0.00168
 258.66280  0.00225  0.00000  0.00393  0.00112  0.00056
 258.68402  0.00616  0.00168  0.00280 -0.00112 -0.00616
 258.70527  0.01001  0.00890  0.00389  0.00167  0.00111
 258.72650  0.00110  0.00221  0.00055  0.00773  0.00221
 258.74772  0.01209  0.00495 -0.00165  0.00660  0.01099
 258.76896  0.00493 -0.00274  0.00219  0.00713  0.00658
 258.79018  0.00603  0.00164  0.00548 -0.00164 -0.00110
 258.81141  0.00771  0.00826  0.00055  0.00661  0.00881
 258.83266  0.00000  0.00055  0.00055  0.00605  0.00935
 258.85388  0.00824  0.00165  0.00604 -0.00055 -0.00110
 258.87511  0.00110  0.00165  0.00603  0.00933  0.00549
 258.89633  0.00764 -0.00164  0.00546  0.00109  0.00273
 258.91756  0.01136  0.00487  0.00865  0.01352  0.00865
 258.93878 -0.00162  0.01082  0.00216  0.00054  0.00757
 258.96000  0.00324 -0.00270  0.00919  0.00486  0.00757
 258.98126  0.00054 -0.00162  0.00054  0.00162 -0.00108
 259.00248  0.00375  0.00483  0.00429  0.00000  0.00322
 259.02371  0.00802  0.00267  0.00214  0.00962  0.00535
 259.04493  0.00912  0.00215  0.00322  0.00859  0.00107
 259.06616  0.00957  0.00159  0.00319  0.00585  0.00213
 259.08738 -0.00159 -0.00530 -0.00265 -0.00583 -0.00583
 259.10860  0.00638  0.00319  0.00425  0.00638 -0.00531
 259.12983  0.00585  0.00426  0.01489  0.00532  0.00160
 259.15105 -0.00160  0.00000  0.00160  0.00160  0.00000
 259.17228  0.00848  0.00636  0.01061  0.00901  0.01008
 259.19350  0.00105  0.00105 -0.00105 -0.00263  0.00211
 259.21472  0.01314  0.01157  0.01367  0.00999  0.01314
 259.23595 -0.00735 -0.00892 -0.00157 -0.01102 -0.00262
 259.25717  0.00468 -0.00052  0.00104  0.00884  0.00104
