Date and Time:                Tue Apr 26 18:16:36.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         250
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	13499
368.99429	12609
369.01495	12448
369.03564	12371
369.0563	12319
369.077	12085
369.09766	11680
369.11832	11425
369.13901	11229
369.15967	10977
369.18033	10815
369.20102	10684
369.22168	10550
369.24237	10529
369.26303	10333
369.28369	10220
369.30438	10112
369.32504	10103
369.3457	10219
369.36636	10028
369.38705	9861
369.40771	9730
369.42838	9610
369.44907	9384
369.46973	9169
369.49039	9068
369.51105	9032
369.53174	8875
369.5524	8627
369.57306	8513
369.59372	8454
369.61441	8348
369.63507	8215
369.65573	8016
369.67639	7926
369.69705	7784
369.71774	7669
369.7384	7638
369.75906	7611
369.77972	7512
369.80038	7279
369.82104	7302
369.84174	7195
369.8624	7195
369.88306	7067
369.90372	6999
369.92438	6889
369.94504	6812
369.9657	6831
369.98636	6681
370.00702	6646
370.02771	6593
370.04837	6476
370.06903	6452
370.08969	6366
370.11035	6309
370.13101	6212
370.15167	6188
370.17233	6050
370.19299	5980
370.21365	5885
370.23431	5751
370.25497	5810
370.27563	5633
370.2963	5563
370.31696	5515
370.33762	5529
370.35828	5456
370.37894	5449
370.3996	5464
370.42026	5432
370.44092	5290
370.46155	5273
370.48221	5143
370.50287	5177
370.52353	5082
370.54419	4955
370.56485	4860
370.58551	4814
370.60617	4817
370.62683	4738
370.64746	4691
370.66812	4606
370.68878	4542
370.70944	4471
370.7301	4415
370.75076	4342
370.77139	4292
370.79205	4242
370.81271	4293
370.83337	4328
370.85403	4301
370.87466	4344
370.89532	4401
370.91599	4445
370.93665	4420
370.95728	4434
370.97794	4391
370.9986	4389
371.01926	4390
371.03989	4373
371.06055	4266
371.08121	4200
371.10184	4102
371.1225	3947
371.14316	3939
371.16379	3839
371.18445	3806
371.20511	3775
371.22574	3808
371.2464	3730
371.26706	3728
371.28769	3706
371.30835	3685
371.32901	3714
371.34964	3693
371.3703	3710
