Date and Time:                Mon Oct 10 15:13:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	599
177.99368	586
178.0153	579
178.03691	574
178.05853	580
178.08015	578
178.10176	571
178.12338	572
178.145	557
178.16661	557
178.18823	572
178.20985	599
178.23146	572
178.25308	567
178.27469	560
178.29631	572
178.31793	582
178.33954	554
178.36116	592
178.38277	575
178.40439	557
178.42599	561
178.44762	574
178.46922	563
178.49084	561
178.51245	574
178.53407	563
178.55568	558
178.5773	547
178.59891	553
178.62053	544
178.64214	557
178.66376	564
178.68536	562
178.70697	559
178.72859	570
178.7502	557
178.77182	565
178.79343	580
178.81503	578
178.83665	548
178.85826	561
178.87987	537
178.90149	554
178.9231	564
178.9447	562
178.96631	549
178.98793	542
179.00954	568
179.03114	551
179.05275	550
179.07437	554
179.09598	556
179.11758	575
179.13919	558
179.16081	567
179.18242	554
179.20403	592
179.22563	559
179.24724	550
179.26884	561
179.29047	545
179.31207	588
179.33368	541
179.35529	548
179.37689	537
179.3985	549
179.4201	557
179.44171	587
179.46332	557
179.48492	555
179.50653	541
179.52814	575
179.54974	548
179.57135	562
179.59296	563
179.61456	547
179.63617	539
179.65778	539
179.67938	550
179.70099	532
179.7226	559
179.7442	538
179.76581	535
179.78741	532
179.80902	553
179.83063	545
179.85223	542
179.87383	547
179.89543	542
179.91704	550
179.93864	536
179.96025	547
179.98186	540
180.00345	532
180.02505	536
180.04666	553
180.06827	542
180.08986	537
180.11147	525
180.13307	519
180.15468	523
180.17627	531
180.19788	533
180.21948	518
180.24107	534
180.26268	525
180.28429	530
180.30589	549
180.32748	569
180.34909	521
180.37068	530
180.39229	533
180.41389	528
180.43549	540
180.45709	526
180.47868	521
180.50029	548
180.5219	531
180.54349	546
180.56509	518
180.58669	522
180.60829	529
180.62988	527
180.65149	525
180.67308	552
180.69469	529
180.71628	524
180.73788	514
180.75948	551
180.78107	528
180.80267	524
180.82426	518
180.84587	520
