Date and Time:                Fri Oct 7 11:47:34.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3255
203.10698	3133
203.12848	3141
203.14999	3131
203.17151	3164
203.19302	3193
203.21452	3201
203.23604	3225
203.25755	3224
203.27905	3199
203.30057	3233
203.32208	3229
203.34358	3203
203.3651	3225
203.38661	3256
203.40811	3315
203.42963	3290
203.45113	3314
203.47264	3334
203.49416	3359
203.51566	3361
203.53717	3367
203.55867	3383
203.58018	3403
203.60168	3424
203.6232	3467
203.6447	3475
203.66621	3488
203.68771	3524
203.70923	3518
203.73073	3500
203.75224	3525
203.77374	3580
203.79526	3603
203.81676	3597
203.83827	3596
203.85977	3638
203.88127	3701
203.90279	3677
203.92429	3704
203.94579	3721
203.9673	3753
203.9888	3715
204.01031	3725
204.03181	3760
204.05331	3772
204.07481	3804
204.09633	3821
204.11783	3802
204.13933	3867
204.16084	3885
204.18234	3869
204.20384	3918
204.22534	3912
204.24684	3954
204.26836	3972
204.28986	3990
204.31136	4027
204.33286	4036
204.35435	4080
204.37587	4067
204.39737	4075
204.41887	4133
204.44037	4101
204.46187	4098
204.48337	4104
204.50487	4140
204.52637	4185
204.54787	4170
204.56937	4187
204.59087	4197
204.61237	4254
204.63387	4277
204.65536	4293
204.67688	4354
204.69836	4349
204.71986	4326
204.74136	4327
204.76286	4386
204.78436	4392
204.80586	4420
204.82736	4450
204.84886	4431
204.87036	4432
204.89186	4455
204.91336	4521
204.93486	4568
204.95636	4591
204.97784	4601
204.99934	4638
205.02084	4623
205.04234	4632
205.06384	4659
205.08534	4694
205.10683	4751
205.12833	4813
205.14983	4820
205.17133	4803
205.19281	4802
205.21431	4849
205.23581	4872
205.25731	4929
205.27879	4913
205.30029	4951
205.32179	4942
205.34328	4995
205.36478	5058
205.38628	5052
205.40776	5079
205.42926	5098
205.45074	5125
205.47224	5112
205.49374	5124
205.51523	5166
205.53673	5201
205.55821	5206
205.57971	5225
