Date and Time:                Mon Apr 25 12:59:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	834
388.15466	809
388.16342	787
388.17215	778
388.18091	798
388.18967	794
388.19843	777
388.20715	779
388.21591	754
388.22467	774
388.2334	772
388.24216	802
388.25092	780
388.25967	776
388.2684	766
388.27716	778
388.28592	783
388.29465	758
388.30341	819
388.31216	767
388.32089	765
388.32965	771
388.33838	786
388.34714	763
388.3559	766
388.36462	782
388.37338	778
388.38214	742
388.39087	733
388.39963	735
388.40836	731
388.41711	758
388.42587	750
388.4346	761
388.44336	767
388.45209	787
388.46085	774
388.46957	770
388.47833	774
388.48706	784
388.49582	748
388.50455	770
388.51331	747
388.52203	741
388.53079	778
388.53952	776
388.54828	757
388.55701	731
388.56577	786
388.57449	747
388.58325	733
388.59198	746
388.60074	750
388.60947	764
388.61823	752
388.62695	768
388.63571	753
388.64444	802
388.65317	752
388.66193	720
388.67065	766
388.67941	731
388.68814	791
388.69687	723
388.70563	740
388.71436	735
388.72311	738
388.73184	746
388.74057	787
388.74933	801
388.75806	742
388.76678	747
388.77554	787
388.78427	726
388.793	763
388.80176	761
388.81049	758
388.81921	712
388.82797	724
388.8367	744
388.84543	722
388.85416	748
388.86292	731
388.87164	729
388.88037	717
388.88913	734
388.89786	726
388.90659	737
388.91531	728
388.92407	738
388.9328	733
388.94153	716
388.95026	724
388.95898	722
388.96774	709
388.97647	702
388.9852	752
388.99393	732
389.00266	717
389.01141	694
389.02014	709
389.02887	696
389.0376	705
389.04633	725
389.05505	692
389.06378	703
389.07254	697
389.08127	715
389.09	754
389.09872	776
389.10745	694
389.11618	700
389.12491	707
389.13364	695
389.14236	724
389.15112	705
389.15985	699
389.16858	720
389.17731	699
389.18604	728
389.19476	675
389.20349	687
389.21222	970
389.22095	970
389.22968	696
389.2384	742
389.24713	714
389.25586	683
389.26459	674
389.27332	734
389.28204	704
389.29077	691
389.2995	672
389.30823	701
