Date and Time:                Mon Apr 25 12:58:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	299
388.15466	298
388.16342	302
388.17215	297
388.18091	300
388.18967	304
388.19843	300
388.20715	303
388.21591	306
388.22467	304
388.2334	296
388.24216	299
388.25092	300
388.25967	305
388.2684	305
388.27716	304
388.28592	300
388.29465	301
388.30341	304
388.31216	303
388.32089	302
388.32965	304
388.33838	299
388.34714	300
388.3559	295
388.36462	303
388.37338	302
388.38214	302
388.39087	304
388.39963	303
388.40836	301
388.41711	301
388.42587	297
388.4346	300
388.44336	301
388.45209	305
388.46085	305
388.46957	298
388.47833	301
388.48706	299
388.49582	301
388.50455	299
388.51331	301
388.52203	307
388.53079	301
388.53952	297
388.54828	301
388.55701	300
388.56577	304
388.57449	299
388.58325	301
388.59198	299
388.60074	302
388.60947	300
388.61823	301
388.62695	310
388.63571	300
388.64444	301
388.65317	304
388.66193	304
388.67065	298
388.67941	298
388.68814	303
388.69687	298
388.70563	301
388.71436	304
388.72311	299
388.73184	305
388.74057	301
388.74933	300
388.75806	300
388.76678	298
388.77554	301
388.78427	299
388.793	300
388.80176	303
388.81049	302
388.81921	299
388.82797	306
388.8367	300
388.84543	305
388.85416	300
388.86292	298
388.87164	298
388.88037	300
388.88913	304
388.89786	306
388.90659	301
388.91531	299
388.92407	296
388.9328	303
388.94153	307
388.95026	305
388.95898	297
388.96774	299
388.97647	303
388.9852	303
388.99393	308
389.00266	302
389.01141	301
389.02014	300
389.02887	297
389.0376	301
389.04633	304
389.05505	302
389.06378	299
389.07254	302
389.08127	301
389.09	298
389.09872	300
389.10745	298
389.11618	300
389.12491	303
389.13364	305
389.14236	305
389.15112	304
389.15985	302
389.16858	301
389.17731	302
389.18604	298
389.19476	300
389.20349	302
389.21222	299
389.22095	297
389.22968	301
389.2384	301
389.24713	306
389.25586	297
389.26459	304
389.27332	302
389.28204	301
389.29077	306
389.2995	301
389.30823	303
