Date and Time:                Mon Apr 25 12:47:17.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	923
388.15466	886
388.16342	863
388.17215	864
388.18091	879
388.18967	868
388.19843	841
388.20715	863
388.21591	834
388.22467	840
388.2334	842
388.24216	884
388.25092	858
388.25967	845
388.2684	848
388.27716	854
388.28592	855
388.29465	848
388.30341	894
388.31216	847
388.32089	849
388.32965	854
388.33838	879
388.34714	845
388.3559	844
388.36462	861
388.37338	842
388.38214	830
388.39087	819
388.39963	822
388.40836	819
388.41711	835
388.42587	825
388.4346	855
388.44336	847
388.45209	880
388.46085	854
388.46957	847
388.47833	857
388.48706	879
388.49582	817
388.50455	854
388.51331	823
388.52203	835
388.53079	866
388.53952	851
388.54828	838
388.55701	809
388.56577	874
388.57449	833
388.58325	836
388.59198	830
388.60074	839
388.60947	851
388.61823	846
388.62695	846
388.63571	836
388.64444	874
388.65317	828
388.66193	816
388.67065	853
388.67941	817
388.68814	896
388.69687	815
388.70563	834
388.71436	817
388.72311	835
388.73184	830
388.74057	893
388.74933	846
388.75806	830
388.76678	837
388.77554	875
388.78427	823
388.793	842
388.80176	846
388.81049	840
388.81921	805
388.82797	822
388.8367	844
388.84543	808
388.85416	850
388.86292	811
388.87164	816
388.88037	808
388.88913	822
388.89786	827
388.90659	814
388.91531	815
388.92407	830
388.9328	820
388.94153	804
388.95026	816
388.95898	821
388.96774	802
388.97647	787
388.9852	858
388.99393	811
389.00266	804
389.01141	791
389.02014	798
389.02887	789
389.0376	807
389.04633	807
389.05505	785
389.06378	797
389.07254	792
389.08127	805
389.09	834
389.09872	860
389.10745	779
389.11618	802
389.12491	801
389.13364	791
389.14236	807
389.15112	816
389.15985	781
389.16858	825
389.17731	805
389.18604	821
389.19476	770
389.20349	785
389.21222	781
389.22095	802
389.22968	785
389.2384	829
389.24713	802
389.25586	774
389.26459	789
389.27332	820
389.28204	786
389.29077	792
389.2995	766
389.30823	793
