Date and Time:                Fri Oct 28 12:16:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.13
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	11280
278.47992	10777
278.50107	10734
278.52225	10792
278.5434	10817
278.56454	10855
278.58572	10836
278.60687	10840
278.62802	10768
278.6492	10737
278.67035	10795
278.6915	10631
278.71268	10563
278.73383	10689
278.75497	10722
278.77615	10709
278.7973	10724
278.81845	10817
278.83963	10831
278.86078	10801
278.88193	10719
278.90308	10733
278.92426	10761
278.9454	10738
278.96655	10741
278.9877	10711
279.00888	10776
279.03003	10820
279.05118	10796
279.07233	10818
279.09348	10846
279.11465	10873
279.1358	10915
279.15695	10881
279.1781	10881
279.19925	10881
279.22043	10897
279.24158	10923
279.26273	10994
279.28387	10981
279.30502	10983
279.32617	10890
279.34732	10788
279.3685	10769
279.38965	10898
279.4108	10921
279.43195	11035
279.45309	11034
279.47424	10975
279.49539	10977
279.51654	11005
279.53769	11020
279.55884	11079
279.58002	11053
279.60117	11075
279.62231	11030
279.64346	11070
279.66461	11100
279.68576	11123
279.70691	11137
279.72806	11113
279.74921	11124
279.77036	11098
279.7915	11110
279.81265	11077
279.8338	11054
279.85495	11099
279.8761	11054
279.89725	10977
279.9184	10886
279.93954	10863
279.96069	10941
279.98184	10858
280.00299	10914
280.02411	10918
280.04526	10917
280.06641	10881
280.08755	10931
280.1087	10941
280.12985	10918
280.151	10957
280.17215	10973
280.1933	11040
280.21445	11085
280.23557	11071
280.25671	11087
280.27786	11171
280.29901	11096
280.32016	11110
280.34131	11115
280.36246	11153
280.38358	11124
280.40472	11107
280.42587	11068
280.44702	11071
280.46817	11125
280.48929	11036
280.51044	11053
280.53159	11143
280.55273	11209
280.57388	11230
280.595	11122
280.61615	11206
280.6373	11233
280.65845	11301
280.67957	11285
280.70071	11404
280.72186	11483
280.74301	11474
280.76413	11423
280.78528	11431
280.80643	11390
280.82755	11323
280.84869	11322
280.86984	11463
280.89096	11426
280.91211	11363
