Date and Time:                Fri Oct 28 11:57:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	305
278.47992	301
278.50107	309
278.52225	302
278.5434	304
278.56454	305
278.58572	304
278.60687	299
278.62802	307
278.6492	300
278.67035	305
278.6915	307
278.71268	295
278.73383	307
278.75497	305
278.77615	300
278.7973	302
278.81845	307
278.83963	303
278.86078	307
278.88193	302
278.90308	299
278.92426	307
278.9454	299
278.96655	301
278.9877	304
279.00888	304
279.03003	305
279.05118	302
279.07233	308
279.09348	311
279.11465	300
279.1358	307
279.15695	296
279.1781	299
279.19925	299
279.22043	297
279.24158	301
279.26273	302
279.28387	302
279.30502	304
279.32617	296
279.34732	302
279.3685	304
279.38965	306
279.4108	304
279.43195	301
279.45309	304
279.47424	302
279.49539	307
279.51654	303
279.53769	300
279.55884	295
279.58002	296
279.60117	308
279.62231	304
279.64346	306
279.66461	302
279.68576	302
279.70691	308
279.72806	304
279.74921	304
279.77036	304
279.7915	300
279.81265	302
279.8338	305
279.85495	302
279.8761	303
279.89725	304
279.9184	301
279.93954	300
279.96069	304
279.98184	303
280.00299	300
280.02411	306
280.04526	300
280.06641	307
280.08755	299
280.1087	305
280.12985	300
280.151	303
280.17215	307
280.1933	306
280.21445	302
280.23557	306
280.25671	305
280.27786	305
280.29901	308
280.32016	304
280.34131	304
280.36246	303
280.38358	301
280.40472	300
280.42587	304
280.44702	310
280.46817	300
280.48929	306
280.51044	302
280.53159	303
280.55273	303
280.57388	303
280.595	301
280.61615	303
280.6373	307
280.65845	309
280.67957	305
280.70071	304
280.72186	307
280.74301	304
280.76413	293
280.78528	306
280.80643	300
280.82755	310
280.84869	299
280.86984	305
280.89096	306
280.91211	301
280.93326	300
280.95438	302
280.97552	304
280.99667	304
281.01779	298
281.03894	304
281.06009	301
281.08121	299
281.10236	302
281.12347	298
281.14462	299
281.16577	300
281.18689	300
281.20804	302
281.22916	296
281.25031	296
