Date and Time:                Sat Jan 28 16:24:24.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              323
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



301.58331	50776
301.60434	51116
301.6254	51383
301.64642	51600
301.66748	51787
301.68851	51946
301.70956	52101
301.73059	52201
301.75165	52324
301.77267	52399
301.79373	52499
301.81476	52587
301.83582	52672
301.85684	52730
301.8779	52806
301.89893	52847
301.91998	52901
301.94101	52936
301.96204	53003
301.98309	53032
302.00412	53073
302.02518	53093
302.0462	53131
302.06726	53188
302.08829	53197
302.10931	53213
302.13037	53230
302.1514	53252
302.17242	53275
302.19348	53305
302.21451	53318
302.23553	53320
302.25659	53340
302.27762	53345
302.29865	53343
302.3197	53350
302.34073	53354
302.36176	53351
302.38281	53360
302.40384	53359
302.42487	53354
302.44592	53340
302.46695	53345
302.48798	53346
302.509	53331
302.53006	53312
302.55109	53298
302.57211	53265
302.59314	53240
302.6142	53217
302.63522	53178
302.65625	53147
302.67728	53102
302.6983	53038
302.71936	53001
302.74039	52940
302.76141	52840
302.78244	52748
302.80347	52611
302.82449	52464
302.84555	52257
302.86658	51980
302.8876	51576
302.90863	50781
302.92966	45812
302.95068	39041
302.97171	38871
302.99274	38136
303.01379	37144
303.03482	36598
303.05585	36228
303.07687	35605
303.0979	34954
303.11893	34347
303.13995	33937
303.16098	33415
303.18201	32971
303.20303	32551
303.22406	32100
303.24509	31607
303.26611	31383
303.28714	31128
303.30817	31128
303.32919	30802
303.35022	30452
303.37125	30262
303.39227	29881
303.4133	29436
303.43433	28812
303.45535	28458
303.47638	28189
303.49741	27942
303.51843	27560
303.53946	27182
303.56049	26809
303.58151	26433
303.60254	25977
303.62357	25830
303.64459	25599
303.66562	25441
303.68661	25174
303.70764	24864
303.72867	24589
303.74969	24338
303.77072	24212
303.79175	24072
303.81277	24032
303.8338	23817
303.8548	23520
303.87582	23333
303.89685	23290
303.91788	23010
303.9389	22721
303.95993	22559
303.98093	22324
304.00195	22055
304.02298	21787
