Date and Time:                Fri Sep 9 14:44:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.36975	302
261.39099	303
261.41223	309
261.4335	304
261.45474	312
261.47598	306
261.49722	304
261.51846	306
261.5397	310
261.56094	306
261.58218	311
261.60342	297
261.62466	307
261.6459	309
261.66718	309
261.68842	302
261.70966	306
261.7309	312
261.75214	306
261.77338	305
261.79462	309
261.81586	309
261.8371	299
261.85834	303
261.87958	309
261.90082	303
261.92206	310
261.9433	310
261.96454	307
261.98578	308
262.00702	303
262.02826	305
262.0495	305
262.07071	307
262.09195	305
262.11319	301
262.13443	308
262.15567	303
262.17691	308
262.19815	309
262.21939	309
262.24063	301
262.26187	307
262.28311	303
262.30432	305
262.32556	304
262.3468	303
262.36804	307
262.38928	304
262.41052	305
262.43176	304
262.45297	306
262.47421	303
262.49545	302
262.51669	306
262.53793	307
262.55917	300
262.58038	302
262.60162	305
262.62286	311
262.6441	298
262.66531	305
262.68655	304
262.70779	302
262.72903	308
262.75024	304
262.77148	304
262.79272	303
262.81396	309
262.83517	305
262.85641	304
262.87766	304
262.8989	304
262.9201	307
262.94135	304
262.96259	308
262.9838	308
263.00504	302
263.02628	306
263.04749	305
263.06873	307
263.08997	302
263.11118	301
263.13242	305
263.15366	307
263.17487	306
263.19611	306
263.21732	310
263.23856	308
263.2598	306
263.28101	301
263.30225	311
263.32346	312
263.3447	306
263.36594	306
263.38715	306
263.40839	303
263.4296	307
263.45084	304
263.47205	297
263.49329	305
263.51453	307
263.53574	305
263.55698	305
263.57819	306
263.59943	300
263.62064	304
263.64188	305
263.66309	306
263.68433	307
263.70554	311
263.72678	308
263.74799	311
263.7692	305
263.79044	309
263.81165	307
263.83289	308
263.8541	308
263.87534	301
263.89655	303
263.91779	297
263.939	300
263.96021	306
263.98145	298
264.00266	310
264.0239	299
264.0451	304
264.06631	305
264.08755	301
264.10876	303
264.12997	307
264.15121	306
264.17242	305
