Date and Time:                Mon Oct 10 13:33:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	421
192.05646	413
192.078	401
192.09956	399
192.12112	402
192.14268	401
192.16425	400
192.18581	405
192.20735	390
192.22891	394
192.25047	395
192.27203	408
192.29358	400
192.31514	403
192.3367	400
192.35826	397
192.37981	398
192.40137	401
192.42293	417
192.44449	403
192.46603	394
192.48759	395
192.50916	412
192.5307	406
192.55226	398
192.57381	398
192.59537	395
192.61693	394
192.63847	386
192.66003	395
192.68159	389
192.70314	392
192.7247	389
192.74625	395
192.76781	397
192.78935	400
192.81091	401
192.83246	400
192.85402	395
192.87556	402
192.89713	391
192.91867	399
192.94023	395
192.96178	390
192.98334	402
193.00488	388
193.02643	398
193.04799	388
193.06953	402
193.09109	388
193.11264	392
193.13419	387
193.15575	387
193.17729	397
193.19884	386
193.2204	391
193.24194	397
193.26349	427
193.28505	388
193.30659	391
193.32814	402
193.34969	392
193.37125	412
193.39279	385
193.41434	384
193.43588	378
193.45744	388
193.47899	388
193.50053	408
193.52208	394
193.54362	385
193.56517	394
193.58673	409
193.60828	384
193.62982	401
193.65137	391
193.67291	391
193.69446	388
193.716	391
193.73755	383
193.75909	377
193.78064	395
193.80219	386
193.82375	389
193.84529	372
193.86684	387
193.88838	381
193.90993	384
193.93147	380
193.953	388
193.97455	382
193.99609	380
194.01764	390
194.03918	389
194.06073	372
194.08228	377
194.10382	389
194.12537	386
194.14691	385
194.16846	382
194.18999	380
194.21153	372
194.23308	385
194.25462	378
194.27617	373
194.29771	382
194.31924	382
194.34079	381
194.36234	397
194.38388	396
194.40541	376
194.42696	384
194.4485	377
194.47005	377
194.49158	383
194.51312	372
194.53467	370
194.5562	390
194.57774	370
194.59929	386
194.62082	369
194.64236	380
194.66391	374
194.68544	374
194.70699	380
194.72852	392
194.75006	377
194.77161	374
194.79314	373
194.81468	384
194.83621	377
194.85776	372
194.87929	367
194.90083	379
