Date and Time:                Mon Oct 10 12:46:39.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	525
192.05646	521
192.078	499
192.09956	503
192.12112	497
192.14268	503
192.16425	491
192.18581	476
192.20735	450
192.22891	467
192.25047	468
192.27203	479
192.29358	466
192.31514	472
192.3367	472
192.35826	463
192.37981	466
192.40137	478
192.42293	505
192.44449	479
192.46603	456
192.48759	471
192.50916	496
192.5307	491
192.55226	490
192.57381	470
192.59537	466
192.61693	486
192.63847	491
192.66003	489
192.68159	479
192.70314	472
192.7247	470
192.74625	486
192.76781	502
192.78935	517
192.81091	508
192.83246	502
192.85402	502
192.87556	489
192.89713	484
192.91867	505
192.94023	510
192.96178	512
192.98334	521
193.00488	517
193.02643	500
193.04799	485
193.06953	490
193.09109	504
193.11264	507
193.13419	519
193.15575	512
193.17729	526
193.19884	526
193.2204	525
193.24194	507
193.26349	520
193.28505	508
193.30659	507
193.32814	521
193.34969	524
193.37125	543
193.39279	513
193.41434	520
193.43588	519
193.45744	514
193.47899	516
193.50053	522
193.52208	525
193.54362	518
193.56517	527
193.58673	538
193.60828	522
193.62982	534
193.65137	537
193.67291	524
193.69446	503
193.716	515
193.73755	509
193.75909	518
193.78064	525
193.80219	515
193.82375	508
193.84529	529
193.86684	533
193.88838	511
193.90993	538
193.93147	526
193.953	521
193.97455	512
193.99609	518
194.01764	532
194.03918	530
194.06073	530
194.08228	527
194.10382	534
194.12537	526
194.14691	529
194.16846	516
194.18999	533
194.21153	529
194.23308	524
194.25462	519
194.27617	525
194.29771	531
194.31924	527
194.34079	542
194.36234	526
194.38388	550
194.40541	522
194.42696	531
194.4485	536
194.47005	528
194.49158	516
194.51312	505
194.53467	496
194.5562	497
194.57774	511
194.59929	506
194.62082	486
194.64236	516
194.66391	508
194.68544	487
194.70699	502
194.72852	545
194.75006	529
194.77161	489
194.79314	492
194.81468	529
194.83621	545
194.85776	530
194.87929	514
194.90083	509
