Date and Time:                Fri Sep 9 18:53:07.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              276
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



254.33386	3826
254.35513	3647
254.37642	3655
254.39769	3666
254.41898	3726
254.44025	3734
254.46153	3734
254.4828	3695
254.50407	3757
254.52536	3731
254.54663	3724
254.56792	3694
254.58919	3689
254.61046	3741
254.63174	3766
254.65302	3739
254.67429	3745
254.69557	3758
254.71684	3796
254.73811	3745
254.75938	3770
254.78067	3719
254.80194	3781
254.82321	3790
254.84448	3748
254.86575	3728
254.88704	3724
254.90831	3758
254.92958	3739
254.95085	3786
254.97212	3818
254.99339	3830
255.01468	3787
255.03595	3793
255.05722	3797
255.07849	3800
255.09976	3838
255.12103	3872
255.1423	3864
255.16357	3903
255.18484	3916
255.20612	3877
255.22739	3883
255.24866	3913
255.26993	3907
255.2912	3962
255.31247	3980
255.33374	3937
255.35501	3929
255.37628	3942
255.39755	3955
255.41882	3941
255.44008	3944
255.46135	3969
255.48262	3919
255.50389	3957
255.52516	3949
255.54643	3950
255.56769	3975
255.58896	3982
255.61023	4008
255.6315	4033
255.65277	4048
255.67403	4071
255.6953	4042
255.71657	4058
255.73784	4053
255.75909	4011
255.78036	4047
255.80164	4035
255.82289	4041
255.84416	4002
255.86543	4011
255.88669	4010
255.90796	4025
255.92921	4013
255.95049	4017
255.97176	4013
255.99301	4033
256.01428	4027
256.03555	4010
256.05679	4033
256.07806	4036
256.09933	4085
256.12061	4077
256.14185	4104
256.16312	4094
256.18439	4068
256.20566	4058
256.2269	4084
256.24817	4101
256.26944	4088
256.29068	4113
256.31195	4119
256.33322	4104
256.35449	4111
256.37573	4087
256.397	4079
256.41827	4147
256.43951	4158
256.46078	4158
256.48206	4152
256.5033	4195
256.52457	4195
256.54581	4216
256.56708	4206
256.58835	4242
256.60959	4240
256.63086	4270
256.65213	4240
256.67337	4307
256.69464	4314
256.71588	4341
256.73715	4317
256.75839	4318
256.77966	4355
256.80093	4329
