Date and Time:                Mon Jan 30 17:26:52.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
211.48381	310
211.50526	304
211.5267	302
211.54816	305
211.5696	307
211.59103	311
211.61249	306
211.63393	307
211.65538	306
211.67682	306
211.69826	297
211.71971	301
211.74115	315
211.76259	304
211.78404	308
211.80548	307
211.82692	302
211.84836	302
211.86981	310
211.89125	300
211.91269	298
211.93413	307
211.95558	299
211.97702	308
211.99846	301
212.0199	307
212.04134	305
212.06277	301
212.08423	311
212.10567	307
212.12711	311
212.14854	305
212.16998	303
212.19142	300
212.21286	311
212.2343	311
212.25574	315
212.27718	298
212.29861	306
212.32005	302
212.34149	304
212.36293	309
212.38437	307
212.40581	305
212.42725	305
212.44868	300
212.47012	306
212.49156	305
212.513	305
212.53444	310
212.55588	312
212.57732	309
212.59874	309
212.62018	308
212.64162	309
212.66306	306
212.68449	304
212.70593	305
212.72736	304
212.74879	302
212.77023	305
212.79167	308
212.8131	298
212.83453	302
212.85597	304
212.87741	308
212.89883	311
212.92027	307
212.94171	308
212.96313	309
212.98457	303
213.00601	302
213.02744	310
213.04887	308
213.0703	303
213.09174	305
213.11317	309
213.1346	302
213.15604	309
213.17746	303
213.1989	305
213.22032	309
213.24176	305
213.26318	310
213.28462	307
213.30605	304
213.32748	308
213.34891	314
213.37033	306
213.39177	303
213.41319	312
213.43463	306
213.45605	306
213.47748	307
213.49892	303
213.52034	307
213.54176	326
213.5632	301
213.58463	311
213.60605	305
213.62749	310
213.64891	316
213.67033	302
213.69177	312
213.7132	308
213.73462	304
213.75604	314
213.77747	304
213.7989	305
213.82033	304
213.84175	306
213.86317	303
213.8846	304
213.90602	313
213.92744	314
213.94888	304
213.97031	306
213.99173	307
214.01315	308
214.03458	306
214.056	303
214.07742	303
214.09885	308
214.12027	306
214.14169	307
214.16312	306
214.18454	311
214.20596	307
214.22739	307
214.24881	309
214.27023	305
214.29166	305
214.31308	304
214.33449	310
214.35591	307
214.37733	303
214.39876	307
214.42018	310
214.4416	309
214.46303	301
214.48444	306
214.50586	313
214.52728	311
214.54871	305
214.57011	304
214.59154	309
214.61296	310
214.63438	312
214.65579	305
214.67722	309
214.69864	304
214.72005	304
214.74147	310
214.76289	303
214.7843	309
214.80573	309
214.82715	311
214.84856	312
214.86998	304
214.89139	301
214.91281	312
214.93423	304
214.95564	305
214.97707	309
214.99847	305
215.0199	302
215.04131	311
215.06273	302
215.08414	307
215.10556	303
215.12697	302
215.14838	303
215.1698	308
215.19121	304
215.21263	311
215.23404	306
215.25545	299
215.27687	305
215.29828	310
215.31969	308
215.34111	303
215.36252	307
215.38393	312
215.40535	302
215.42676	310
215.44817	305
215.46957	309
215.491	313
215.51241	304
215.53381	308
215.55522	309
215.57663	307
215.59805	303
215.61946	304
215.64087	308
215.66228	300
215.68369	303
215.70509	309
215.7265	310
215.74792	305
215.76933	304
215.79074	302
215.81215	303
215.83356	311
215.85497	312
215.87637	306
215.89778	315
215.91919	307
215.9406	303
215.96201	301
215.98341	306
216.00482	314
216.02623	305
216.04762	307
216.06903	299
216.09044	307
216.11185	303
216.13326	302
216.15466	309
216.17607	313
