Date and Time:                Tue Jan 31 14:29:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	554
192.05646	542
192.078	521
192.09956	522
192.12112	523
192.14268	527
192.16425	504
192.18581	491
192.20735	486
192.22891	486
192.25047	488
192.27203	504
192.29358	496
192.31514	505
192.3367	491
192.35826	491
192.37981	503
192.40137	493
192.42293	518
192.44449	483
192.46603	503
192.48759	517
192.50916	532
192.5307	514
192.55226	495
192.57381	500
192.59537	496
192.61693	512
192.63847	509
192.66003	506
192.68159	492
192.70314	494
192.7247	495
192.74625	511
192.76781	525
192.78935	529
192.81091	538
192.83246	523
192.85402	514
192.87556	518
192.89713	518
192.91867	530
192.94023	528
192.96178	528
192.98334	541
193.00488	520
193.02643	501
193.04799	502
193.06953	535
193.09109	527
193.11264	538
193.13419	536
193.15575	538
193.17729	545
193.19884	542
193.2204	530
193.24194	521
193.26349	552
193.28505	532
193.30659	526
193.32814	546
193.34969	533
193.37125	559
193.39279	533
193.41434	530
193.43588	518
193.45744	536
193.47899	533
193.50053	546
193.52208	549
193.54362	535
193.56517	540
193.58673	557
193.60828	536
193.62982	554
193.65137	551
193.67291	537
193.69446	516
193.716	529
193.73755	535
193.75909	526
193.78064	531
193.80219	527
193.82375	539
193.84529	521
193.86684	529
193.88838	542
193.90993	541
193.93147	543
193.953	540
193.97455	534
193.99609	535
194.01764	547
194.03918	532
194.06073	541
194.08228	521
194.10382	557
194.12537	544
194.14691	544
194.16846	540
194.18999	535
194.21153	534
194.23308	534
194.25462	543
194.27617	529
194.29771	532
194.31924	543
194.34079	539
194.36234	559
194.38388	573
194.40541	531
194.42696	539
194.4485	539
194.47005	529
194.49158	523
194.51312	508
194.53467	500
194.5562	520
194.57774	513
194.59929	511
194.62082	522
194.64236	525
194.66391	494
194.68544	512
194.70699	524
194.72852	560
194.75006	524
194.77161	505
194.79314	526
194.81468	555
194.83621	542
194.85776	531
194.87929	503
194.90083	518
