Date and Time:                Tue Jan 31 14:14:21.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	13266
192.05646	12325
192.078	11153
192.09956	10108
192.12112	10458
192.14268	9793
192.16425	6795
192.18581	4537
192.20735	3953
192.22891	4262
192.25047	4596
192.27203	4245
192.29358	5678
192.31514	7051
192.3367	5585
192.35826	4899
192.37981	6952
192.40137	8107
192.42293	6809
192.44449	4958
192.46603	6334
192.48759	9428
192.50916	10888
192.5307	9684
192.55226	6567
192.57381	5659
192.59537	8274
192.61693	10971
192.63847	12124
192.66003	11501
192.68159	8722
192.70314	6394
192.7247	8088
192.74625	11318
192.76781	12835
192.78935	13114
192.81091	12423
192.83246	10592
192.85402	8071
192.87556	8436
192.89713	11409
192.91867	13399
192.94023	13975
192.96178	14040
192.98334	13852
193.00488	12736
193.02643	10297
193.04799	9300
193.06953	11411
193.09109	13597
193.11264	14392
193.13419	14709
193.15575	14732
193.17729	14645
193.19884	14075
193.2204	12449
193.24194	11146
193.26349	12181
193.28505	13862
193.30659	14636
193.32814	14905
193.34969	15069
193.37125	15192
193.39279	15131
193.41434	14743
193.43588	13829
193.45744	12788
193.47899	13005
193.50053	14140
193.52208	14856
193.54362	15107
193.56517	15210
193.58673	15162
193.60828	15243
193.62982	15201
193.65137	14959
193.67291	14024
193.69446	12998
193.716	12697
193.73755	13463
193.75909	14318
193.78064	14011
193.80219	14305
193.82375	14934
193.84529	14654
193.86684	14054
193.88838	14698
193.90993	15293
193.93147	15093
193.953	14180
193.97455	13656
193.99609	14608
194.01764	15438
194.03918	15590
194.06073	15481
194.08228	14871
194.10382	14900
194.12537	15502
194.14691	15869
194.16846	15952
194.18999	15867
194.21153	15352
194.23308	14750
194.25462	14873
194.27617	15485
194.29771	15830
194.31924	16007
194.34079	16070
194.36234	15933
194.38388	15388
194.40541	15038
194.42696	15297
194.4485	15149
194.47005	13685
194.49158	11109
194.51312	10080
194.53467	9709
