Date and Time:                Tue Jan 31 14:40:36.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
200.45207	310
200.47357	319
200.49507	308
200.51656	312
200.53806	308
200.55956	317
200.58104	317
200.60254	308
200.62402	310
200.64552	317
200.66702	306
200.68851	311
200.71001	323
200.73149	312
200.75299	316
200.77448	309
200.79597	308
200.81746	310
200.83896	315
200.86044	304
200.88194	310
200.90343	306
200.92491	313
200.94641	315
200.9679	311
200.9894	310
201.01088	309
201.03236	305
201.05386	314
201.07535	317
201.09683	316
201.11833	311
201.13982	314
201.1613	311
201.1828	307
201.20428	315
201.22577	313
201.24725	308
201.26875	308
201.29024	315
201.31172	309
201.33321	308
201.35469	301
201.37619	310
201.39767	311
201.41916	311
201.44064	316
201.46213	305
201.48361	311
201.50511	306
201.5266	309
201.54808	314
201.56956	315
201.59105	309
201.61253	317
201.63402	306
201.6555	316
201.67699	312
201.69847	314
201.71996	310
201.74144	313
201.76292	310
201.78441	317
201.80589	313
201.82738	306
201.84886	309
201.87035	313
201.89183	313
201.9133	317
201.93478	311
201.95627	308
201.97775	313
201.99924	312
202.02072	311
202.04221	312
202.06367	314
202.08516	318
202.10664	316
202.12813	312
202.14961	308
202.17108	316
202.19257	316
202.21405	311
202.23553	318
202.257	311
202.27849	315
202.29997	308
202.32144	315
202.34293	312
202.36441	306
202.38588	317
202.40736	308
202.42883	315
202.45032	316
202.4718	308
202.49327	315
202.51476	329
202.53622	312
202.55771	317
202.57918	309
202.60066	312
202.62213	316
202.64362	310
