Date and Time:                Tue Jan 31 14:40:05.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	317
192.05646	318
192.078	319
192.09956	316
192.12112	319
192.14268	318
192.16425	315
192.18581	321
192.20735	316
192.22891	319
192.25047	317
192.27203	318
192.29358	316
192.31514	315
192.3367	318
192.35826	316
192.37981	325
192.40137	316
192.42293	327
192.44449	316
192.46603	318
192.48759	313
192.50916	314
192.5307	312
192.55226	317
192.57381	319
192.59537	321
192.61693	314
192.63847	319
192.66003	311
192.68159	315
192.70314	314
192.7247	320
192.74625	312
192.76781	319
192.78935	325
192.81091	318
192.83246	315
192.85402	318
192.87556	319
192.89713	319
192.91867	320
192.94023	315
192.96178	319
192.98334	317
193.00488	321
193.02643	315
193.04799	316
193.06953	318
193.09109	315
193.11264	319
193.13419	320
193.15575	309
193.17729	313
193.19884	316
193.2204	316
193.24194	318
193.26349	314
193.28505	319
193.30659	313
193.32814	319
193.34969	315
193.37125	318
193.39279	313
193.41434	322
193.43588	311
193.45744	312
193.47899	324
193.50053	319
193.52208	316
193.54362	311
193.56517	318
193.58673	319
193.60828	314
193.62982	323
193.65137	315
193.67291	319
193.69446	317
193.716	318
193.73755	315
193.75909	311
193.78064	317
193.80219	317
193.82375	316
193.84529	314
193.86684	320
193.88838	319
193.90993	312
193.93147	310
193.953	320
193.97455	312
193.99609	310
194.01764	315
194.03918	314
194.06073	317
194.08228	314
194.10382	318
194.12537	316
194.14691	311
194.16846	316
194.18999	314
194.21153	315
194.23308	312
194.25462	312
194.27617	316
194.29771	317
194.31924	311
194.34079	307
194.36234	315
194.38388	321
194.40541	309
194.42696	312
194.4485	315
194.47005	315
194.49158	314
194.51312	308
194.53467	313
194.5562	313
194.57774	311
194.59929	311
194.62082	314
194.64236	314
194.66391	318
194.68544	313
194.70699	315
194.72852	317
194.75006	312
194.77161	308
194.79314	310
194.81468	316
194.83621	311
194.85776	311
194.87929	311
194.90083	310
