Date and Time:                Tue Jan 31 14:35:47.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	571
192.05646	549
192.078	526
192.09956	521
192.12112	524
192.14268	525
192.16425	500
192.18581	503
192.20735	474
192.22891	489
192.25047	497
192.27203	511
192.29358	501
192.31514	505
192.3367	502
192.35826	492
192.37981	507
192.40137	503
192.42293	530
192.44449	496
192.46603	497
192.48759	521
192.50916	534
192.5307	520
192.55226	497
192.57381	502
192.59537	509
192.61693	522
192.63847	516
192.66003	516
192.68159	496
192.70314	493
192.7247	507
192.74625	529
192.76781	530
192.78935	543
192.81091	535
192.83246	526
192.85402	522
192.87556	528
192.89713	518
192.91867	550
192.94023	543
192.96178	541
192.98334	550
193.00488	543
193.02643	517
193.04799	504
193.06953	532
193.09109	543
193.11264	555
193.13419	547
193.15575	552
193.17729	556
193.19884	551
193.2204	541
193.24194	530
193.26349	571
193.28505	547
193.30659	542
193.32814	556
193.34969	541
193.37125	588
193.39279	545
193.41434	541
193.43588	539
193.45744	541
193.47899	534
193.50053	563
193.52208	554
193.54362	548
193.56517	555
193.58673	574
193.60828	548
193.62982	571
193.65137	564
193.67291	551
193.69446	533
193.716	530
193.73755	546
193.75909	535
193.78064	559
193.80219	537
193.82375	544
193.84529	551
193.86684	550
193.88838	549
193.90993	554
193.93147	553
193.953	550
193.97455	548
193.99609	553
194.01764	560
194.03918	557
194.06073	553
194.08228	550
194.10382	564
194.12537	558
194.14691	546
194.16846	557
194.18999	557
194.21153	551
194.23308	559
194.25462	552
194.27617	549
194.29771	566
194.31924	557
194.34079	563
194.36234	574
194.38388	599
194.40541	548
194.42696	558
194.4485	555
194.47005	542
194.49158	537
194.51312	512
194.53467	519
194.5562	532
194.57774	529
194.59929	529
194.62082	520
194.64236	531
194.66391	526
194.68544	521
194.70699	535
194.72852	566
194.75006	529
194.77161	511
194.79314	531
194.81468	571
194.83621	558
194.85776	547
194.87929	517
194.90083	533
